Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,170891,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1507912,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,73519,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,170099,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,699850,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,10527200,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,122531,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,287171,7414700,SH,,DFND,7414700,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,69478,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,308390,7962567,SH,,DFND,7962567,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,21302,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,219072,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,237078,1566215,SH,,DFND,1566215,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,512218,3383881,SH,,DFND,3383881,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,244888,4233151,SH,,DFND,4233151,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,374171,6467959,SH,,DFND,6467959,0,0
COCA COLA CO,COM,191216100,34128,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3424881,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,77812,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,614782,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,779757,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,11940159,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,151528,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,40954,960000,SH,,DFND,960000,0,0
CONOCOPHILLIPS,COM,20825C104,36117,471994,SH,,DFND,471994,0,0
COSTCO WHSL CORP NEW,COM,22160K105,543057,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1397535,19107670,SH,,DFND,19107670,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1354076,18513482,SH,,DFND,18513482,0,0
DIRECTV,COM,25490A309,530561,6132231,SH,,DFND,6132231,0,0
DIRECTV,COM,25490A309,1427580,16500000,SH,,DFND,16500000,0,0
DIRECTV,COM,25490A309,599287,6926575,SH,,DFND,6926575,0,0
DIRECTV,COM,25490A309,38172,441194,SH,,DFND,441194,0,0
EXPRESS SCRIPTS HLDG CO,COM,30219G108,31747,449489,SH,,DFND,449489,0,0
EXXON MOBIL CORP,COM,30231G102,997626,10607400,SH,,DFND,10607400,0,0
EXXON MOBIL CORP,COM,30231G102,259644,2760700,SH,,DFND,2760700,0,0
EXXON MOBIL CORP,COM,30231G102,2610973,27761543,SH,,DFND,27761543,0,0
GENERAL ELECTRIC CO,COM,369604103,15088,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,13720,535532,SH,,DFND,535532,0,0
