Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ACTIVISION BLIZZARD INC,COM,00507V109,5152292,64315222,SH,,DFND,64315222,0,0
ALLY FINL INC,COM,02005N100,358710,8250000,SH,,DFND,8250000,0,0
ALLY FINL INC,COM,02005N100,31280,719420,SH,,DFND,719420,0,0
AMAZON COM INC,COM,023135106,1367549,419500,SH,,DFND,419500,0,0
AMAZON COM INC,COM,023135106,370982,113800,SH,,DFND,113800,0,0
AMERICAN EXPRESS CO,COM,025816109,215039,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,157049,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,27717367,148221213,SH,,DFND,148221213,0,0
AMERICAN EXPRESS CO,COM,025816109,261746,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,120830,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,670502,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,4236039,24260000,SH,,DFND,24260000,0,0
APPLE INC,COM,037833100,10184587,58327625,SH,,DFND,58327625,0,0
APPLE INC,COM,037833100,475638,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,11380839,65178619,SH,,DFND,65178619,0,0
APPLE INC,COM,037833100,2121861,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,8351946,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,116889027,669429166,SH,,DFND,669429166,0,0
APPLE INC,COM,037833100,473542,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,659327,3776000,SH,,DFND,3776000,0,0
BANK AMER CORP,COM,060505104,161582,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,490518,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,720629,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,5770800,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1297523,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,86562,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,12851572,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,494599,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,712076,17275000,SH,,DFND,17275000,0,0
