Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN AIRLS GROUP INC,COM,02376R102,1061824,22742000,SH,,DFND,22742000,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,1064665,22802854,SH,,DFND,22802854,0,0
AMERICAN EXPRESS CO,COM,025816109,144615,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1276058,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,62215,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,152390,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,592242,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,8900110,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,103691,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,82232,710000,SH,,DFND,710000,0,0
APPLE INC,COM,037833100,111187,960000,SH,,DFND,960000,0,0
APPLE INC,COM,037833100,1021301,8818000,SH,,DFND,8818000,0,0
APPLE INC,COM,037833100,78873,681000,SH,,DFND,681000,0,0
APPLE INC,COM,037833100,1781977,15385747,SH,,DFND,15385747,0,0
APPLE INC,COM,037833100,208592,1801000,SH,,DFND,1801000,0,0
APPLE INC,COM,037833100,419037,3618000,SH,,DFND,3618000,0,0
APPLE INC,COM,037833100,2752335,23763905,SH,,DFND,23763905,0,0
APPLE INC,COM,037833100,78526,678000,SH,,DFND,678000,0,0
APPLE INC,COM,037833100,109334,944000,SH,,DFND,944000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,355883,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,84996,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,291879,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,26060,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,268000,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,764266,2654437,SH,,DFND,2654437,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1954704,6789054,SH,,DFND,6789054,0,0
COCA COLA CO,COM,191216100,33168,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3328541,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,75623,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,597488,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,621502,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,11740610,283179200,SH,,DFND,283179200,0,0
COCA COLA CO,COM,191216100,147266,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,39802,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,693815,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1287344,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1188566,18513482,SH,,DFND,18513482,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,250440,5091277,SH,,DFND,5091277,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,389030,7908723,SH,,DFND,7908723,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,2313209,47025995,SH,,DFND,47025995,0,0
GENERAL ELECTRIC CO,COM,369604103,18609,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,16923,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,157946,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,1128,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,134254,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,5641,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,539074,15472853,SH,,DFND,15472853,0,0
GENERAL MTRS CO,COM,37045V100,867070,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,292737,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,43118,1237600,SH,,DFND,1237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1047826,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1576431,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,24658,48165,SH,,DFND,0,0,48165
GRAHAM HLDGS CO,COM,384637104,30415,59410,SH,,DFND,0,0,59410
INTERNATIONAL BUSINESS MACHS,COM,459200101,14023,84480,SH,,DFND,84480,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,46145,278000,SH,,DFND,278000,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,119727,721288,SH,,DFND,721288,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,84456,508800,SH,,DFND,508800,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,38692,233100,SH,,DFND,233100,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,13147700,79207782,SH,,DFND,79207782,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,33008,198853,SH,,DFND,198853,0,0
JOHNSON & JOHNSON,COM,478160104,37685,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,28434432,325634818,SH,,DFND,325634818,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,67832,1965000,SH,,DFND,1965000,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,243013,7039780,SH,,DFND,7039780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,32221,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,4164,120629,SH,,DFND,120629,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,133957,3949206,SH,,DFND,3949206,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,595897,17567720,SH,,DFND,17567720,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,17254,508654,SH,,DFND,508654,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,7141,210529,SH,,DFND,210529,0,0
M & T BK CORP,COM,55261F104,85411,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,25779,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,730723,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,509514,4934756,SH,,DFND,4934756,0,0
MONDELEZ INTL INC,CL A,609207105,25623,578000,SH,,DFND,578000,0,0
MOSANTO CO NEW,COM,61166W101,345615,3285000,SH,,DFND,3285000,0,0
MOSANTO CO NEW,COM,61166W101,500461,4756784,SH,,DFND,4756784,0,0
MOODYS CORP,COM,615369105,1128782,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,1196838,12695850,SH,,DFND,12695850,0,0
PHILLIPS 66,COM,718546104,527274,6102000,SH,,DFND,6102000,0,0
PHILLIPS 66,COM,718546104,67573,782000,SH,,DFND,782000,0,0
PHILLIPS 66,COM,718546104,450455,5213000,SH,,DFND,5213000,0,0
PHILLIPS 66,COM,718546104,100495,1163000,SH,,DFND,1163000,0,0
PHILLIPS 66,COM,718546104,5717222,66163892,SH,,DFND,66163892,0,0
PHILLIPS 66,COM,718546104,109395,1266000,SH,,DFND,1266000,0,0
PROCTER & GAMBLE CO,COM,742718109,26519,315400,SH,,DFND,315400,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,402166,8438225,SH,,DFND,8438225,0,0
SANOFI,SPONSORED ADR,80105N105,17041,421400,SH,,DFND,421400,0,0
SANOFI,SPONSORED ADR,80105N105,20614,509742,SH,,DFND,509742,0,0
SANOFI,SPONSORED ADR,80105N105,6846,169300,SH,,DFND,169300,0,0
SANOFI,SPONSORED ADR,80105N105,113452,2805433,SH,,DFND,2805433,0,0
SIRIUS XM HLDGS INC,COM,82968B103,544110,122272000,SH,,DFND,122272000,0,0
SIRIUS XM HLDGS INC,COM,82968B103,197437,44367941,SH,,DFND,44367941,0,0
SOUTHWEST AIRLS CO,COM,844741108,435,8722,SH,,DFND,8722,0,0
SOUTHWEST AIRLS CO,COM,844741108,2152841,43195053,SH,,DFND,43195053,0,0
TORCHMARK CORP,COM,891027104,12870,174489,SH,,DFND,174489,0,0
TORCHMARK CORP,COM,891027104,74637,1011888,SH,,DFND,1011888,0,0
TORCHMARK CORP,COM,891027104,106165,1439325,SH,,DFND,1439325,0,0
TORCHMARK CORP,COM,891027104,274979,3728025,SH,,DFND,3728025,0,0
TWENTY FIRST CENTY FOX INC,CL A,90130A101,129906,4632867,SH,,DFND,4632867,0,0
TWENTY FIRST CENTY FOX INC,CL A,90130A101,121105,4319002,SH,,DFND,4319002,0,0
US BANCORP DEL,COM NEW,902973304,30322,590275,SH,,DFND,590275,0,0
US BANCORP DEL,COM NEW,902973304,157706,3070000,SH,,DFND,3070000,0,0
US BANCORP DEL,COM NEW,902973304,1224214,23831300,SH,,DFND,23831300,0,0
US BANCORP DEL,COM NEW,902973304,60360,1175000,SH,,DFND,1175000,0,0
US BANCORP DEL,COM NEW,902973304,651336,12679300,SH,,DFND,12679300,0,0
US BANCORP DEL,COM NEW,902973304,216001,4204800,SH,,DFND,4204800,0,0
US BANCORP DEL,COM NEW,902973304,1940116,37767492,SH,,DFND,37767492,0,0
US BANCORP DEL,COM NEW,902973304,89641,1745000,SH,,DFND,1745000,0,0
U S G CORP,COM NEW,903293405,405333,14035088,SH,,DFND,14035088,0,0
U S G CORP,COM NEW,903293405,721045,24966928,SH,,DFND,24966928,0,0
UNITED CONTL HLDGS INC,COM,910047109,169896,2331169,SH,,DFND,2331169,0,0
UNITED CONTL HLDGS INC,COM,910047109,413144,5668831,SH,,DFND,5668831,0,0
UNITED CONTL HLDGS INC,COM,910047109,1526935,20951353,SH,,DFND,20951353,0,0
UNITED PARCEL SERVICE INC,CL B,911312106,6810,59400,SH,,DFND,59400,0,0
VERISIGN INC,COM,92343E102,383945,5047264,SH,,DFND,5047264,0,0
VERISIGN INC,COM,92343E102,601370,7905481,SH,,DFND,7905481,0,0
VERIZON COMMUNICATIONS INC,COM,92343V104,50,928,SH,,DFND,928,0,0
VERISK ANALYTICS INC,CL A,92345Y106,126904,1563434,SH,,DFND,1563434,0,0
VISA INC,COM CL A,92826C839,25224,323300,SH,,DFND,323300,0,0
VISA INC,COM CL A,92826C839,798859,10239160,SH,,DFND,10239160,0,0
WABCO HLDGS INC,COM,92927K102,183183,1725701,SH,,DFND,1725701,0,0
WABCO HLDGS INC,COM,92927K102,174372,1642693,SH,,DFND,1642693,0,0
WAL MART STORES INC,COM,931142103,65388,946000,SH,,DFND,946000,0,0
WAL MART STORES INC,COM,931142103,30932,447513,SH,,DFND,447513,0,0
WELLS FARGO & CO NEW,COM,949746101,411973,7475470,SH,,DFND,7475470,0,0
WELLS FARGO & CO NEW,COM,949746101,906560,16450000,SH,,DFND,16450000,0,0
WELLS FARGO & CO NEW,COM,949746101,292276,5303500,SH,,DFND,5303500,0,0
WELLS FARGO & CO NEW,COM,949746101,375457,6812857,SH,,DFND,6812857,0,0
WELLS FARGO & CO NEW,COM,949746101,4135885,75047819,SH,,DFND,75047819,0,0
WELLS FARGO & CO NEW,COM,949746101,45190,820000,SH,,DFND,820000,0,0
WELLS FARGO & CO NEW,COM,949746101,93687,1700000,SH,,DFND,1700000,0,0
WELLS FARGO & CO NEW,COM,949746101,1998024,36255200,SH,,DFND,36255200,0,0
WELLS FARGO & CO NEW,COM,949746101,565814,10267000,SH,,DFND,10267000,0,0
WELLS FARGO & CO NEW,COM,949746101,3073834,55776330,SH,,DFND,55776330,0,0
WELLS FARGO & CO NEW,COM,949746101,14125948,256322774,SH,,DFND,256322774,0,0
WELLS FARGO & CO NEW,COM,949746101,153647,2788000,SH,,DFND,2788000,0,0
WELLS FARGO & CO NEW,COM,949746101,88712,1609720,SH,,DFND,1609720,0,0
WELLS FARGO & CO NEW,COM,949746101,169496,3075600,SH,,DFND,3075600,0,0
AXALTA COATING SYS LTD,COM,G0750C108,90413,3324000,SH,,DFND,3324000,0,0
AXALTA COATING SYS LTD,COM,G0750C108,544000,20000000,SH,,DFND,20000000,0,0
LIBERTY GLOBAL PLC,SHS CL A,G5480U104,256314,8379000,SH,,DFND,8379000,0,0
LIBERTY GLOBAL PLC,SHS CL A,G5480U104,361020,11801897,SH,,DFND,11801897,0,0
LIBERTY GLOBAL PLC,SHS CL C,G5480U120,218205,7346968,SH,,DFND,7346968,0,0
LIBERTY GLOBAL PLC,LILAC SHS CL A,G5480U138,23929,1089669,SH,,DFND,1089669,0,0
LIBERTY GLOBAL PLC,LILAC SHS CL A,G5480U138,35689,1625185,SH,,DFND,1625185,0,0
LIBERTY GLOBAL PLC,LILAC SHS CL C,G5480U153,27183,1284020,SH,,DFND,1284020,0,0
