Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ABBVIE INC,COM,00287Y109,410744,3033561,SH,,DFND,3033561,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,975205,14658121,SH,,DFND,14658121,0,0
AMAZON COM INC,COM,023135106,1398756,419500,SH,,DFND,419500,0,0
AMAZON COM INC,COM,023135106,379448,113800,SH,,DFND,113800,0,0
AMERICAN EXPRESS CO,COM,025816109,319370,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,27473,167926,SH,,DFND,167926,0,0
AMERICAN EXPRESS CO,COM,025816109,2818075,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,137397,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,336542,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,1307922,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,19627739,119973953,SH,,DFND,119973953,0,0
AMERICAN EXPRESS CO,COM,025816109,228993,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,122878,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,681869,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,4307848,24260000,SH,,DFND,24260000,0,0
APPLE INC,COM,037833100,10330206,58175400,SH,,DFND,58175400,0,0
APPLE INC,COM,037833100,483701,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,10928188,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,2157831,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,8493528,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,118870537,669429166,SH,,DFND,669429166,0,0
APPLE INC,COM,037833100,481570,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,670504,3776000,SH,,DFND,3776000,0,0
BANK AMER CORP,COM,060505104,174401,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,529431,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,777796,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,6228600,140000000,SH,,DFND,140000000,0,0
