Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN AIRLS GROUP INC,COM,02376R102,1079206,20742000,SH,,DFND,20742000,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,1222611,23498200,SH,,DFND,23498200,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,91562,1759800,SH,,DFND,1759800,0,0
AMERICAN EXPRESS CO,COM,025816109,193867,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1710654,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,83404,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,204291,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,793947,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,11931290,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,139005,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,600386,3547753,SH,,DFND,3547753,0,0
APPLE INC,COM,037833100,162461,960000,SH,,DFND,960000,0,0
APPLE INC,COM,037833100,2360928,13951000,SH,,DFND,13951000,0,0
APPLE INC,COM,037833100,115246,681000,SH,,DFND,681000,0,0
APPLE INC,COM,037833100,2603730,15385747,SH,,DFND,15385747,0,0
APPLE INC,COM,037833100,514121,3038000,SH,,DFND,3038000,0,0
APPLE INC,COM,037833100,2023652,11958000,SH,,DFND,11958000,0,0
APPLE INC,COM,037833100,19324452,114190462,SH,,DFND,114190462,0,0
APPLE INC,COM,037833100,114738,678000,SH,,DFND,678000,0,0
APPLE INC,COM,037833100,159753,944000,SH,,DFND,944000,0,0
BANK AMER CORP,COM,060505104,181843,6160000,SH,,DFND,6160000,0,0
BANK AMER CORP,COM,060505104,351288,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,4132800,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,165312,5600000,SH,,DFND,5600000,0,0
BANK AMER CORP,COM,060505104,61992,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,9203746,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,16531,560000,SH,,DFND,560000,0,0
BANK AMER CORP,COM,060505104,4814712,163100000,SH,,DFND,163100000,0,0
BANK AMER CORP,COM,060505104,826560,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,289296,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,404556,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,115691,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,96620,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,24614,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,41795,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,331798,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,394201,7319000,SH,,DFND,7319000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,207601,3854463,SH,,DFND,3854463,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,1543561,28658772,SH,,DFND,28658772,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,115260,2140000,SH,,DFND,2140000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,571245,1700337,SH,,DFND,1700337,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,2280851,6789054,SH,,DFND,6789054,0,0
COCA COLA CO,COM,191216100,36704,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3683393,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,83685,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,661186,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,687760,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,12992262,283179200,SH,,DFND,283179200,0,0
COCA COLA CO,COM,191216100,162966,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,44045,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,806526,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1448763,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1337599,18513482,SH,,DFND,18513482,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,391615,6993123,SH,,DFND,6993123,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,2582567,46117272,SH,,DFND,46117272,0,0
GENERAL MTRS CO,COM,37045V100,224332,5472853,SH,,DFND,5472853,0,0
GENERAL MTRS CO,COM,37045V100,1020127,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,344412,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,460629,11237600,SH,,DFND,11237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1114822,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1677225,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,26893,48165,SH,,DFND,0,0,48165
GRAHAM HLDGS CO,COM,384637104,33172,59410,SH,,DFND,0,0,59410
INTERNATIONAL BUSINESS MACHS,COM,459200101,314211,2048045,SH,,DFND,2048045,0,0
JOHNSON & JOHNSON,COM,478160104,45702,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,25321363,325634818,SH,,DFND,325634818,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,170860,4308117,SH,,DFND,4308117,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,309022,7791780,SH,,DFND,7791780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,37018,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,72462,1827072,SH,,DFND,1827072,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,283689,7153027,SH,,DFND,7153027,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,767814,19359910,SH,,DFND,19359910,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,20173,508654,SH,,DFND,508654,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,161392,4069394,SH,,DFND,4069394,0,0
M & T BK CORP,COM,55261F104,93361,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,28178,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,798736,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,746925,4934756,SH,,DFND,4934756,0,0
MONDELEZ INTL INC,CL A,609207105,24738,578000,SH,,DFND,578000,0,0
MOSANTO CO NEW,COM,61166W101,432847,3706513,SH,,DFND,3706513,0,0
MOSANTO CO NEW,COM,61166W101,934501,8002234,SH,,DFND,8002234,0,0
MOODYS CORP,COM,615369105,1767472,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,1874034,12695850,SH,,DFND,12695850,0,0
PHILLIPS 66,COM,718546104,617217,6102000,SH,,DFND,6102000,0,0
PHILLIPS 66,COM,718546104,79099,782000,SH,,DFND,782000,0,0
PHILLIPS 66,COM,718546104,527295,5213000,SH,,DFND,5213000,0,0
PHILLIPS 66,COM,718546104,117637,1163000,SH,,DFND,1163000,0,0
PHILLIPS 66,COM,718546104,6692478,66163892,SH,,DFND,66163892,0,0
PHILLIPS 66,COM,718546104,128056,1266000,SH,,DFND,1266000,0,0
PROCTER & GAMBLE CO,COM,742718109,28979,315400,SH,,DFND,315400,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,518782,8438225,SH,,DFND,8438225,0,0
SANOFI,SPONSORED ADR,80105N105,16944,394049,SH,,DFND,394049,0,0
SANOFI,SPONSORED ADR,80105N105,21919,509742,SH,,DFND,509742,0,0
SANOFI,SPONSORED ADR,80105N105,7280,169300,SH,,DFND,169300,0,0
SANOFI,SPONSORED ADR,80105N105,120634,2805433,SH,,DFND,2805433,0,0
SIRIUS XM HLDGS INC,COM,82968B103,501416,93547788,SH,,DFND,93547788,0,0
SIRIUS XM HLDGS INC,COM,82968B103,237812,44367941,SH,,DFND,44367941,0,0
SOUTHWEST AIRLS CO,COM,844741108,571,8722,SH,,DFND,8722,0,0
SOUTHWEST AIRLS CO,COM,844741108,3118741,47650734,SH,,DFND,47650734,0,0
STORE CAP CORP,COM,862121100,484908,18621674,SH,,DFND,18621674,0,0
SYNCHRONY FINL,COM,87165B103,674246,17463000,SH,,DFND,17463000,0,0
SYNCHRONY FINL,COM,87165B103,128957,3340000,SH,,DFND,3340000,0,0
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADR,881624209,349438,18440000,SH,,DFND,18440000,0,0
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADR,881624209,8257,435721,SH,,DFND,435721,0,0
TORCHMARK CORP,COM,891027104,15828,174489,SH,,DFND,174489,0,0
TORCHMARK CORP,COM,891027104,91788,1011888,SH,,DFND,1011888,0,0
TORCHMARK CORP,COM,891027104,130561,1439325,SH,,DFND,1439325,0,0
TORCHMARK CORP,COM,891027104,338169,3728025,SH,,DFND,3728025,0,0
US BANCORP DEL,COM NEW,902973304,31627,590275,SH,,DFND,590275,0,0
US BANCORP DEL,COM NEW,902973304,164491,3070000,SH,,DFND,3070000,0,0
US BANCORP DEL,COM NEW,902973304,1276881,23831300,SH,,DFND,23831300,0,0
US BANCORP DEL,COM NEW,902973304,62957,1175000,SH,,DFND,1175000,0,0
US BANCORP DEL,COM NEW,902973304,679357,12679300,SH,,DFND,12679300,0,0
US BANCORP DEL,COM NEW,902973304,225293,4204800,SH,,DFND,4204800,0,0
US BANCORP DEL,COM NEW,902973304,2130512,39763202,SH,,DFND,39763202,0,0
US BANCORP DEL,COM NEW,902973304,93497,1745000,SH,,DFND,1745000,0,0
U S G CORP,COM NEW,903293405,541193,14035088,SH,,DFND,14035088,0,0
U S G CORP,COM NEW,903293405,962725,24966928,SH,,DFND,24966928,0,0
UNITED CONTL HLDGS INC,COM,910047109,107259,1591379,SH,,DFND,1591379,0,0
UNITED CONTL HLDGS INC,COM,910047109,382079,5668831,SH,,DFND,5668831,0,0
UNITED CONTL HLDGS INC,COM,910047109,1412121,20951353,SH,,DFND,20951353,0,0
UNITED PARCEL SERVICE INC,CL B,911312106,7078,59400,SH,,DFND,59400,0,0
VERISIGN INC,COM,92343E102,577609,5047264,SH,,DFND,5047264,0,0
VERISIGN INC,COM,92343E102,904703,7905481,SH,,DFND,7905481,0,0
VERIZON COMMUNICATIONS INC,COM,92343V104,49,928,SH,,DFND,928,0,0
VERISK ANALYTICS INC,CL A,92345Y106,150090,1563434,SH,,DFND,1563434,0,0
VISA INC,COM CL A,92826C839,36863,323300,SH,,DFND,323300,0,0
VISA INC,COM CL A,92826C839,1167469,10239160,SH,,DFND,10239160,0,0
WAL MART STORES INC,COM,931142103,93418,946000,SH,,DFND,946000,0,0
WAL MART STORES INC,COM,931142103,44192,447513,SH,,DFND,447513,0,0
WELLS FARGO & CO NEW,COM,949746101,109206,1800000,SH,,DFND,1800000,0,0
WELLS FARGO & CO NEW,COM,949746101,998022,16450000,SH,,DFND,16450000,0,0
WELLS FARGO & CO NEW,COM,949746101,321763,5303500,SH,,DFND,5303500,0,0
WELLS FARGO & CO NEW,COM,949746101,413336,6812857,SH,,DFND,6812857,0,0
WELLS FARGO & CO NEW,COM,949746101,4541381,74853819,SH,,DFND,74853819,0,0
WELLS FARGO & CO NEW,COM,949746101,49749,820000,SH,,DFND,820000,0,0
WELLS FARGO & CO NEW,COM,949746101,103139,1700000,SH,,DFND,1700000,0,0
WELLS FARGO & CO NEW,COM,949746101,2199603,36255200,SH,,DFND,36255200,0,0
WELLS FARGO & CO NEW,COM,949746101,623052,10269523,SH,,DFND,10269523,0,0
WELLS FARGO & CO NEW,COM,949746101,3383950,55776330,SH,,DFND,55776330,0,0
WELLS FARGO & CO NEW,COM,949746101,14669601,241793319,SH,,DFND,241793319,0,0
WELLS FARGO & CO NEW,COM,949746101,169148,2788000,SH,,DFND,2788000,0,0
WELLS FARGO & CO NEW,COM,949746101,97662,1609720,SH,,DFND,1609720,0,0
WELLS FARGO & CO NEW,COM,949746101,121340,2000000,SH,,DFND,2000000,0,0
AXALTA COATING SYS LTD,COM,G0750C108,107565,3324000,SH,,DFND,3324000,0,0
AXALTA COATING SYS LTD,COM,G0750C108,647200,20000000,SH,,DFND,20000000,0,0
LIBERTY GLOBAL PLC,SHS CL A,G5480U104,300303,8379000,SH,,DFND,8379000,0,0
LIBERTY GLOBAL PLC,SHS CL A,G5480U104,422980,11801897,SH,,DFND,11801897,0,0
LIBERTY GLOBAL PLC,SHS CL C,G5480U120,248621,7346968,SH,,DFND,7346968,0,0
LIBERTY GLOBAL PLC,LILAC SHS CL A,G5480U138,21957,1089669,SH,,DFND,1089669,0,0
LIBERTY GLOBAL PLC,LILAC SHS CL A,G5480U138,32747,1625185,SH,,DFND,1625185,0,0
LIBERTY GLOBAL PLC,LILAC SHS CL C,G5480U153,25539,1284020,SH,,DFND,1284020,0,0
