Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN AIRLS GROUP INC,COM,02376R102,488930,13355099,SH,,DFND,13355099,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,308090,8415456,SH,,DFND,8415456,0,0
AMERICAN EXPRESS CO,COM,025816109,125015,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1103115,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,53783,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,131737,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,511976,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,7693886,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,89638,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,122580,1084300,SH,,DFND,1084300,0,0
APPLE INC,COM,037833100,1152403,10193747,SH,,DFND,10193747,0,0
APPLE INC,COM,037833100,411763,3642305,SH,,DFND,3642305,0,0
APPLE INC,COM,037833100,34746,307350,SH,,DFND,307350,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,278203,6975992,SH,,DFND,6975992,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,71541,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,245676,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,21935,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,225577,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,716618,2654437,SH,,DFND,2654437,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1832841,6789054,SH,,DFND,6789054,0,0
COCA COLA CO,COM,191216100,33856,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3397585,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,77192,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,609882,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,773542,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,11844996,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,150321,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,40627,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,660881,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1324841,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1223186,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,197369,2312467,SH,,DFND,2312467,0,0
DEERE & CO,COM,244199105,10256,120165,SH,,DFND,120165,0,0
DEERE & CO,COM,244199105,1505997,17644955,SH,,DFND,17709394,0,0
DEERE & CO,COM,244199105,85988,1007474,SH,,DFND,1007474,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,249303,6333923,SH,,DFND,6333923,0,0
GENERAL ELECTRIC CO,COM,369604103,17443,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,15862,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,148050,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,1057,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,125842,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,5287,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,491573,15472853,SH,,DFND,15472853,0,0
GENERAL MTRS CO,COM,37045V100,790667,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,266942,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,39319,1237600,SH,,DFND,1237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,705712,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1061729,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,23185,48165,SH,,DFND,0,0,48165
GRAHAM HLDGS CO,COM,384637104,28598,59410,SH,,DFND,0,0,59410
INTERNATIONAL BUSINESS MACHS,COM,459200101,13420,84480,SH,,DFND,84480,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,44160,278000,SH,,DFND,278000,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,114577,721288,SH,,DFND,721288,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,80823,508800,SH,,DFND,508800,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,133926,843100,SH,,DFND,843100,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,12485258,78597782,SH,,DFND,78597782,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,31588,198853,SH,,DFND,198853,0,0
JOHNSON & JOHNSON,COM,478160104,38640,327100,SH,,DFND,327100,0,0
KINDER MORGAN INC DEL,COM,49456B101,462600,20000000,SH,,DFND,20000000,0,0
KRAFT HEINZ CO,COM,500754106,29147573,325634818,SH,,DFND,325634818,0,0
LEE ENTERPRISES INC,COM,523768109,333,88863,SH,,DFND,88863,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,66771,1965000,SH,,DFND,1965000,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,239212,7039780,SH,,DFND,7039780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,31717,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,4099,120629,SH,,DFND,120629,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,131943,3949206,SH,,DFND,3949206,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,586938,17567720,SH,,DFND,17567720,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,16994,508654,SH,,DFND,508654,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,7034,210529,SH,,DFND,210529,0,0
LIBERTY MEDIA CORP DELAWARE,COM C MEDIA GRP,531229854,89740,3189041,SH,,DFND,3189041,0,0
LIBERTY MEDIA CORP DELAWARE,COM A MEDIA GRP,531229870,37131,1296013,SH,,DFND,1296013,0,0
M & T BK CORP,COM,55261F104,63391,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,19133,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,542332,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,502210,4934756,SH,,DFND,4934756,0,0
MONDELEZ INTL INC,CL A,609207105,25374,578000,SH,,DFND,578000,0,0
MOODYS CORP,COM,615369105,1296537,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,1374707,12695850,SH,,DFND,12695850,0,0
NOW INC,COM,67011P100,14137,659694,SH,,DFND,659694,0,0
NOW INC,COM,67011P100,24985,1165875,SH,,DFND,1165875,0,0
PHILLIPS 66,COM,718546104,491516,6102000,SH,,DFND,6102000,0,0
PHILLIPS 66,COM,718546104,62990,782000,SH,,DFND,782000,0,0
PHILLIPS 66,COM,718546104,419907,5213000,SH,,DFND,5213000,0,0
PHILLIPS 66,COM,718546104,93680,1163000,SH,,DFND,1163000,0,0
PHILLIPS 66,COM,718546104,5329502,66163892,SH,,DFND,66163892,0,0
PHILLIPS 66,COM,718546104,101976,1266000,SH,,DFND,1266000,0,0
PROCTER & GAMBLE CO,COM,742718109,28307,315400,SH,,DFND,315400,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,376176,8438225,SH,,DFND,8438225,0,0
SANOFI,SPONSORED ADR,80105N105,16093,421400,SH,,DFND,421400,0,0
SANOFI,SPONSORED ADR,80105N105,19467,509742,SH,,DFND,509742,0,0
SANOFI,SPONSORED ADR,80105N105,6466,169300,SH,,DFND,169300,0,0
