Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMAZON COM INC,COM,023135106,782560,423500,SH,,DFND,423500,0,0
AMAZON COM INC,COM,023135106,210284,113800,SH,,DFND,113800,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,594881,20742000,SH,,DFND,20742000,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,624019,21758000,SH,,DFND,21758000,0,0
AMERICAN EXPRESS CO,COM,025816109,243022,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,2144390,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,104551,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,256088,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,995252,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,14956463,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,174250,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,50801,173000,SH,,DFND,173000,0,0
APPLE INC,COM,037833100,281904,960000,SH,,DFND,960000,0,0
APPLE INC,COM,037833100,1780987,6065000,SH,,DFND,6065000,0,0
APPLE INC,COM,037833100,5043382,17174807,SH,,DFND,17174807,0,0
APPLE INC,COM,037833100,199976,681000,SH,,DFND,681000,0,0
APPLE INC,COM,037833100,4518025,15385747,SH,,DFND,15385747,0,0
APPLE INC,COM,037833100,892109,3038000,SH,,DFND,3038000,0,0
APPLE INC,COM,037833100,3511467,11958000,SH,,DFND,11958000,0,0
APPLE INC,COM,037833100,55234981,188098012,SH,,DFND,188098012,0,0
APPLE INC,COM,037833100,199095,678000,SH,,DFND,678000,0,0
APPLE INC,COM,037833100,277206,944000,SH,,DFND,944000,0,0
BANK AMER CORP,COM,060505104,138062,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,419118,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,292590,8307500,SH,,DFND,8307500,0,0
BANK AMER CORP,COM,060505104,4930800,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1078718,30628000,SH,,DFND,30628000,0,0
BANK AMER CORP,COM,060505104,73962,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,10980892,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,422605,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,608426,17275000,SH,,DFND,17275000,0,0
BANK AMER CORP,COM,060505104,12302314,349299100,SH,,DFND,349299100,0,0
BANK AMER CORP,COM,060505104,986160,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,345156,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,378041,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,108109,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,90288,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,23001,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,39056,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,326661,6490384,SH,,DFND,6490384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,368365,7319000,SH,,DFND,7319000,0,0
