Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ALLY FINL INC,COM,02005N100,498611260,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,109911900,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,165745440,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,122970400,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,189581000,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,49980000,1275000,SH,,DFND,1275000,0,0
ALPHABET INC,CAP STK CL A,02079K305,6219957,25586,SH,,DFND,25586,0,0
ALPHABET INC,CAP STK CL A,02079K305,4332177164,17820556,SH,,DFND,17820556,0,0
AMAZON COM INC,COM,023135106,1695958680,7724000,SH,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,499741320,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,381964735,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,49512116707,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,464928670,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,176203960,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,977779200,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,8657420,34000,SH,,DFND,34000,0,0
APPLE INC,COM,037833100,8841772120,34724000,SH,,DFND,34724000,0,0
APPLE INC,COM,037833100,693612120,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,3954913160,15532000,SH,,DFND,15532000,0,0
APPLE INC,COM,037833100,15670691034,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1834354520,7204000,SH,,DFND,7204000,0,0
APPLE INC,COM,037833100,3685005360,14472000,SH,,DFND,14472000,0,0
APPLE INC,COM,037833100,23161087763,90959776,SH,,DFND,90959776,0,0
APPLE INC,COM,037833100,690556560,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,961482880,3776000,SH,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4500745,108217,SH,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4028699,96867,SH,,DFND,96867,0,0
