Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN AIRLS GROUP INC,COM,02376R102,787366,20742000,SH,,DFND,20742000,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,871190,22950200,SH,,DFND,22950200,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,38256,1007800,SH,,DFND,1007800,0,0
AMERICAN EXPRESS CO,COM,025816109,191310,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1688089,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,82304,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,201596,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,783474,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,11773904,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,137172,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,656725,3547753,SH,,DFND,3547753,0,0
APPLE INC,COM,037833100,177706,960000,SH,,DFND,960000,0,0
APPLE INC,COM,037833100,1122692,6065000,SH,,DFND,6065000,0,0
APPLE INC,COM,037833100,3268487,17657000,SH,,DFND,17657000,0,0
APPLE INC,COM,037833100,126060,681000,SH,,DFND,681000,0,0
APPLE INC,COM,037833100,2848056,15385747,SH,,DFND,15385747,0,0
APPLE INC,COM,037833100,562364,3038000,SH,,DFND,3038000,0,0
APPLE INC,COM,037833100,2524900,13640000,SH,,DFND,13640000,0,0
APPLE INC,COM,037833100,35052314,189359377,SH,,DFND,189359377,0,0
APPLE INC,COM,037833100,125505,678000,SH,,DFND,678000,0,0
APPLE INC,COM,037833100,174744,944000,SH,,DFND,944000,0,0
BANK AMER CORP,COM,060505104,173650,6160000,SH,,DFND,6160000,0,0
BANK AMER CORP,COM,060505104,335461,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,3946600,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,157864,5600000,SH,,DFND,5600000,0,0
BANK AMER CORP,COM,060505104,59199,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,8789078,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,15786,560000,SH,,DFND,560000,0,0
BANK AMER CORP,COM,060505104,4597789,163100000,SH,,DFND,163100000,0,0
BANK AMER CORP,COM,060505104,789320,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,276262,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,405082,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,115842,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,96746,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,24646,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,41850,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,350026,6490384,SH,,DFND,6490384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,394714,7319000,SH,,DFND,7319000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,207871,3854463,SH,,DFND,3854463,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,1742498,32310365,SH,,DFND,32310365,0,0
