Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN AIRLS GROUP INC,COM,02376R102,961987,22742000,SH,,DFND,22742000,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,1048069,24777054,SH,,DFND,24777054,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,74440,1759800,SH,,DFND,1759800,0,0
AMERICAN EXPRESS CO,COM,025816109,154434,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1362701,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,66439,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,162737,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,632455,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,9504424,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,110731,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,101999,710000,SH,,DFND,710000,0,0
APPLE INC,COM,037833100,137914,960000,SH,,DFND,960000,0,0
APPLE INC,COM,037833100,2004201,13951000,SH,,DFND,13951000,0,0
APPLE INC,COM,037833100,97832,681000,SH,,DFND,681000,0,0
APPLE INC,COM,037833100,2210316,15385747,SH,,DFND,15385747,0,0
APPLE INC,COM,037833100,436439,3038000,SH,,DFND,3038000,0,0
APPLE INC,COM,037833100,1717886,11958000,SH,,DFND,11958000,0,0
APPLE INC,COM,037833100,11643838,81051359,SH,,DFND,81051359,0,0
APPLE INC,COM,037833100,97401,678000,SH,,DFND,678000,0,0
APPLE INC,COM,037833100,135615,944000,SH,,DFND,944000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,354756,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,84727,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,11477,243000,SH,,DFND,243000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,290955,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,246924,5228111,SH,,DFND,5228111,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,570321,12075400,SH,,DFND,12075400,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,868850,2654437,SH,,DFND,2654437,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,2222193,6789054,SH,,DFND,6789054,0,0
COCA COLA CO,COM,191216100,33952,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3407219,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,77411,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,611611,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,636193,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,12018125,283179200,SH,,DFND,283179200,0,0
COCA COLA CO,COM,191216100,150747,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,40742,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,726662,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1362940,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1258361,18513482,SH,,DFND,18513482,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,4195,91277,SH,,DFND,91277,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,363485,7908723,SH,,DFND,7908723,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,2161315,47025995,SH,,DFND,47025995,0,0
GENERAL ELECTRIC CO,COM,369604103,17549,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,15959,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,148949,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,1064,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,126607,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,5320,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,547120,15472853,SH,,DFND,15472853,0,0
GENERAL MTRS CO,COM,37045V100,880012,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,297107,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,43762,1237600,SH,,DFND,1237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1005247,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1512373,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,28877,48165,SH,,DFND,0,0,48165
GRAHAM HLDGS CO,COM,384637104,35619,59410,SH,,DFND,0,0,59410
INTERNATIONAL BUSINESS MACHS,COM,459200101,11242819,64561955,SH,,DFND,64561955,0,0
JOHNSON & JOHNSON,COM,478160104,40740,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,29570898,325634818,SH,,DFND,325634818,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,83834,2154000,SH,,DFND,2154000,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,273988,7039780,SH,,DFND,7039780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,36328,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,4695,120629,SH,,DFND,120629,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,155904,4020206,SH,,DFND,4020206,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,681276,17567720,SH,,DFND,17567720,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,19726,508654,SH,,DFND,508654,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,8164,210529,SH,,DFND,210529,0,0
M & T BK CORP,COM,55261F104,84483,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,25499,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,722782,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,555012,4934756,SH,,DFND,4934756,0,0
MONDELEZ INTL INC,CL A,609207105,24900,578000,SH,,DFND,578000,0,0
MOSANTO CO NEW,COM,61166W101,371862,3285000,SH,,DFND,3285000,0,0
MOSANTO CO NEW,COM,61166W101,538468,4756784,SH,,DFND,4756784,0,0
MOODYS CORP,COM,615369105,1341559,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,1422443,12695850,SH,,DFND,12695850,0,0
PHILLIPS 66,COM,718546104,483400,6102000,SH,,DFND,6102000,0,0
PHILLIPS 66,COM,718546104,61950,782000,SH,,DFND,782000,0,0
PHILLIPS 66,COM,718546104,412974,5213000,SH,,DFND,5213000,0,0
PHILLIPS 66,COM,718546104,92133,1163000,SH,,DFND,1163000,0,0
PHILLIPS 66,COM,718546104,5241504,66163892,SH,,DFND,66163892,0,0
PHILLIPS 66,COM,718546104,100293,1266000,SH,,DFND,1266000,0,0
PROCTER & GAMBLE CO,COM,742718109,28339,315400,SH,,DFND,315400,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,470347,8438225,SH,,DFND,8438225,0,0
SANOFI,SPONSORED ADR,80105N105,19068,421400,SH,,DFND,421400,0,0
SANOFI,SPONSORED ADR,80105N105,23066,509742,SH,,DFND,509742,0,0
SANOFI,SPONSORED ADR,80105N105,7661,169300,SH,,DFND,169300,0,0
SANOFI,SPONSORED ADR,80105N105,126946,2805433,SH,,DFND,2805433,0,0
SIRIUS XM HLDGS INC,COM,82968B103,658981,127957412,SH,,DFND,127957412,0,0
