Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ABBVIE INC,COM,00287Y109,1553165,14398488,SH,,DFND,14398488,0,0
AMAZON COM INC,COM,023135106,1378074,419500,SH,,DFND,419500,0,0
AMAZON COM INC,COM,023135106,373838,113800,SH,,DFND,113800,0,0
AMERICAN EXPRESS CO,COM,025816109,327042,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,28133,167926,SH,,DFND,167926,0,0
AMERICAN EXPRESS CO,COM,025816109,2885771,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,140697,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,344626,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,1339341,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,20099236,119973953,SH,,DFND,119973953,0,0
AMERICAN EXPRESS CO,COM,025816109,234494,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,97918,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,543360,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,3432790,24260000,SH,,DFND,24260000,0,0
APPLE INC,COM,037833100,8231819,58175400,SH,,DFND,58175400,0,0
APPLE INC,COM,037833100,385446,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,8708333,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1719508,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,6768228,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,94724227,669429166,SH,,DFND,669429166,0,0
APPLE INC,COM,037833100,383748,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,534304,3776000,SH,,DFND,3776000,0,0
BANK AMER CORP,COM,060505104,166404,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,505155,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,742132,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,5943000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1336241,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,89145,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,13235061,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,509358,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,733324,17275000,SH,,DFND,17275000,0,0
BANK AMER CORP,COM,060505104,18014341,424366106,SH,,DFND,424366106,0,0
BANK AMER CORP,COM,060505104,1188600,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,416010,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,389383,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,111352,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,92997,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,23691,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,40228,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,336462,6490384,SH,,DFND,6490384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,379417,7319000,SH,,DFND,7319000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,139044,2682169,SH,,DFND,2682169,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,2127500,41039736,SH,,DFND,41039736,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,110938,2140000,SH,,DFND,2140000,0,0
BRISTOL-MYERS SQUIBB CO,COM,110122108,1304517,22046936,SH,,DFND,22046936,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,3056207,4200626,SH,,DFND,4200626,0,0
CHEVRON CORP NEW,COM,166764100,2911972,28703519,SH,,DFND,28703519,0,0
COCA COLA CO,COM,191216100,41976,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,19491,371471,SH,,DFND,371471,0,0
COCA COLA CO,COM,191216100,4460,85000,SH,,DFND,85000,0,0
COCA COLA CO,COM,191216100,4212460,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,95705,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,756156,14411200,SH,,DFND,14411200,0,0
