Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ACTIVISION BLIZZARD INC,COM,00507V109,65079600,772000,SH,,DFND,772000,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,96495850,1144672,SH,,DFND,1144672,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,1068289221,12672470,SH,,DFND,12672470,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,5814930,68979,SH,,DFND,68979,0,0
ALLY FINL INC,COM,02005N100,343558422,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,75732664,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,114203682,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,84730370,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,130627113,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,34437750,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1078729000,8275000,SH,,DFND,8275000,0,0
AMAZON COM INC,COM,023135106,296699360,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,200319896,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,25966434039,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,243830005,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,198985288,1025856,SH,,DFND,1025856,0,0
APPLE INC,COM,037833100,744844800,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,4712307180,24294000,SH,,DFND,24294000,0,0
APPLE INC,COM,037833100,12264050800,63226534,SH,,DFND,63226534,0,0
APPLE INC,COM,037833100,528374280,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,12642696727,65178619,SH,,DFND,65178619,0,0
APPLE INC,COM,037833100,2357123440,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,9277973040,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,129644730949,668375166,SH,,DFND,668375166,0,0
APPLE INC,COM,037833100,526046640,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,732430720,3776000,SH,,DFND,3776000,0,0
APPLE INC,COM,037833100,3961683432,20424207,SH,,DFND,20424207,0,0
BANK AMER CORP,COM,060505104,112464800,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,341411000,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,501572925,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,4016600000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,903103820,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,60249000,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,8944968200,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,344251310,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,1138275750,39675000,SH,,DFND,39675000,0,0
BANK AMER CORP,COM,060505104,11532407581,401966106,SH,,DFND,401966106,0,0
BANK AMER CORP,COM,060505104,803320000,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,281162000,9800000,SH,,DFND,9800000,0,0
BANK AMER CORP,COM,060505104,652737666,22751400,SH,,DFND,22751400,0,0
CAPITAL ONE FINL CORP,COM,14040H105,109370000,1000000,SH,,DFND,1000000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,545618384,4988739,SH,,DFND,4988739,0,0
CAPITAL ONE FINL CORP,COM,14040H105,428762227,3920291,SH,,DFND,3920291,0,0
CAPITAL ONE FINL CORP,COM,14040H105,233723690,2137000,SH,,DFND,2137000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,46482250,425000,SH,,DFND,425000,0,0
CELANESE CORP DEL,COM,150870103,157189583,1357423,SH,,DFND,1357423,0,0
CELANESE CORP DEL,COM,150870103,64091710,553469,SH,,DFND,553469,0,0
CELANESE CORP DEL,COM,150870103,399237059,3447643,SH,,DFND,3447643,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1406638055,3828941,SH,,DFND,3828941,0,0
CHEVRON CORP NEW,COM,166764100,2315987288,14718699,SH,,DFND,14718699,0,0
CHEVRON CORP NEW,COM,166764100,9661290,61400,SH,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,6273874306,39872096,SH,,DFND,39872096,0,0
CHEVRON CORP NEW,COM,166764100,449769240,2858400,SH,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,9689538259,61579525,SH,,DFND,61579525,0,0
CHEVRON CORP NEW,COM,166764100,304944300,1938000,SH,,DFND,1938000,0,0
CHEVRON CORP NEW,COM,166764100,329176200,2092000,SH,,DFND,2092000,0,0
CITIGROUP INC,COM NEW,172967424,167815800,3645000,SH,,DFND,3645000,0,0
CITIGROUP INC,COM NEW,172967424,1307767351,28405025,SH,,DFND,28405025,0,0
CITIGROUP INC,COM NEW,172967424,261748910,5685250,SH,,DFND,5685250,0,0
CITIGROUP INC,COM NEW,172967424,663322313,14407522,SH,,DFND,14407522,0,0
CITIGROUP INC,COM NEW,172967424,138718520,3013000,SH,,DFND,3013000,0,0
CITIGROUP INC,COM NEW,172967424,4097560,89000,SH,,DFND,89000,0,0
COCA COLA CO,COM,191216100,48176000,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,22369984,371471,SH,,DFND,371471,0,0
COCA COLA CO,COM,191216100,5118700,85000,SH,,DFND,85000,0,0
COCA COLA CO,COM,191216100,4834654304,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,109841280,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,867842464,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,902721888,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,17025562740,282722729,SH,,DFND,282722729,0,0
COCA COLA CO,COM,191216100,213901440,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,57811200,960000,SH,,DFND,960000,0,0
D R HORTON INC,COM,23331A109,6668125,54796,SH,,DFND,54796,0,0
D R HORTON INC,COM,23331A109,719786371,5914918,SH,,DFND,5914918,0,0
DAVITA INC,COM,23918K108,1766472381,17582088,SH,,DFND,17582088,0,0
DAVITA INC,COM,23918K108,1860049537,18513482,SH,,DFND,18513482,0,0
DIAGEO P L C,SPON ADR NEW,25243Q205,39510070,227750,SH,,DFND,227750,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,218835800,2105000,SH,,DFND,2105000,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,121206964,1165900,SH,,DFND,1165900,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,8408285,80880,SH,,DFND,80880,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,99814075,960120,SH,,DFND,960120,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,48663676,468100,SH,,DFND,468100,0,0
GENERAL MTRS CO,COM,37045V100,107775200,2795000,SH,,DFND,2795000,0,0
GENERAL MTRS CO,COM,37045V100,740544800,19205000,SH,,DFND,19205000,0,0
GLOBE LIFE INC,COM,37959E102,19127484,174489,SH,,DFND,174489,0,0
GLOBE LIFE INC,COM,37959E102,110923163,1011888,SH,,DFND,1011888,0,0
GLOBE LIFE INC,COM,37959E102,145706575,1329197,SH,,DFND,1329197,0,0
HP INC,COM,40434L105,179653500,5850000,SH,,DFND,5850000,0,0
HP INC,COM,40434L105,824359279,26843350,SH,,DFND,26843350,0,0
HP INC,COM,40434L105,105765240,3444000,SH,,DFND,3444000,0,0
HP INC,COM,40434L105,854975613,27840300,SH,,DFND,27840300,0,0
HP INC,COM,40434L105,276420710,9001000,SH,,DFND,9001000,0,0
HP INC,COM,40434L105,963854386,31385685,SH,,DFND,31385685,0,0
HP INC,COM,40434L105,3430307,111700,SH,,DFND,111700,0,0
HP INC,COM,40434L105,506002006,16476783,SH,,DFND,16476783,0,0
JEFFERIES FINL GROUP INC,COM,47233W109,14381119,433558,SH,,DFND,433558,0,0
JOHNSON & JOHNSON,COM,478160104,54141592,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,11560036039,325634818,SH,,DFND,325634818,0,0
KROGER CO,COM,501044101,780533230,16607090,SH,,DFND,16607090,0,0
KROGER CO,COM,501044101,36120957,768531,SH,,DFND,768531,0,0
KROGER CO,COM,501044101,252254593,5367119,SH,,DFND,5367119,0,0
KROGER CO,COM,501044101,1281091220,27257260,SH,,DFND,27257260,0,0
LENNAR CORP,CL A,526057302,17237585,152572,SH,,DFND,152572,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,141349319,4308117,SH,,DFND,4308117,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,431093871,13139100,SH,,DFND,13139100,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,30624559,933391,SH,,DFND,933391,0,0
