Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AT&T INC,COM,00206R102,415187,12743618,SH,,DFND,12743618,0,0
AT&T INC,COM,00206R102,1063324,32637320,SH,,DFND,32637320,0,0
AT&T INC,COM,00206R102,426963,13105079,SH,,DFND,13105079,0,0
AT&T INC,COM,00206R102,27196,834739,SH,,DFND,834739,0,0
AMERICAN EXPRESS CO,COM,025816109,144712,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1276919,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,62257,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,144042,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,592642,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,8914568,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,103761,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,260993,6666492,SH,,DFND,6666492,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,70232,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,213187,5445384,SH,,DFND,5445384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,21533,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,221448,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,495624,2818446,SH,,DFND,2818446,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,1312396,7463157,SH,,DFND,7463157,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,78653,1983190,SH,,DFND,1983190,0,0
COCA COLA CO,COM,191216100,32096,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3220962,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,73179,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,578177,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,733329,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,11229235,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,142506,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,38515,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,626474,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1450368,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1339080,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,53258,719700,SH,,DFND,719700,0,0
DEERE & CO,COM,244199105,171123,2312467,SH,,DFND,2312467,0,0
DEERE & CO,COM,244199105,1037476,14019943,SH,,DFND,14019943,0,0
GENERAL ELECTRIC CO,COM,369604103,14852,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,13506,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,126057,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,900,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,107149,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,4502,178510,SH,,DFND,178510,0,0
