Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,177118,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1562861,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,76198,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,176297,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,725353,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,10910816,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,126996,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,280963,8041300,SH,,DFND,8041300,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,62679,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,300875,8611200,SH,,DFND,8611200,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,19218,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,197635,5656400,SH,,DFND,5656400,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,400519,4817400,SH,,DFND,4817400,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,393531,4733355,SH,,DFND,4733355,0,0
COCA COLA CO,COM,191216100,33048,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3316499,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,75349,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,595327,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,755081,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,11562305,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,146733,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,39658,960000,SH,,DFND,960000,0,0
CONOCOPHILLIPS,COM,20825C104,97384,1378400,SH,,DFND,1378400,0,0
CONOCOPHILLIPS,COM,20825C104,685415,9701558,SH,,DFND,9701558,0,0
COSTCO WHSL CORP NEW,COM,22160K105,515757,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1137353,17947812,SH,,DFND,17947812,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1173199,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,152183,1666300,SH,,DFND,1666300,0,0
DEERE & CO,COM,244199105,211198,2312467,SH,,DFND,2312467,0,0
DIRECTV,COM,25490A309,985887,14275800,SH,,DFND,14275800,0,0
DIRECTV,COM,25490A309,1535818,22238900,SH,,DFND,22238900,0,0
EXXON MOBIL CORP,COM,30231G102,1073469,10607400,SH,,DFND,10607400,0,0
EXXON MOBIL CORP,COM,30231G102,279383,2760700,SH,,DFND,2760700,0,0
EXXON MOBIL CORP,COM,30231G102,2809468,27761543,SH,,DFND,27761543,0,0
GENERAL ELECTRIC CO,COM,369604103,16507,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,15011,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,140102,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,1001,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,119087,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,5004,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,747717,18295000,SH,,DFND,18295000,0,0
GENERAL MTRS CO,COM,37045V100,887083,21705000,SH,,DFND,21705000,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,296381,1672012,SH,,DFND,1672012,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,775684,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1167000,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,98378,148311,SH,,DFND,0,0,148311
GRAHAM HLDGS CO,COM,384637104,429941,648165,SH,,DFND,0,0,648165
GRAHAM HLDGS CO,COM,384637104,593210,894304,SH,,DFND,0,0,894304
GRAHAM HLDGS CO,COM,384637104,24533,36985,SH,,DFND,0,0,36985
INTERNATIONAL BUSINESS MACHS,COM,459200101,15846,84480,SH,,DFND,84480,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,112090,597588,SH,,DFND,597588,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,89058,474800,SH,,DFND,474800,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,12560647,66965116,SH,,DFND,66965116,0,0
JOHNSON & JOHNSON,COM,478160104,29959,327100,SH,,DFND,327100,0,0
KRAFT FOODS GROUP INC,COM,50076Q106,10387,192666,SH,,DFND,192666,0,0
LEE ENTERPRISES INC,COM,523768109,308,88863,SH,,DFND,88863,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,383627,2622340,SH,,DFND,2622340,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,391720,2677660,SH,,DFND,2677660,0,0
M & T BK CORP,COM,55261F104,63565,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,19185,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,543826,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,338361,405000,SH,,DFND,405000,0,0
MEDIA GEN INC,CL A,584404107,105005,4646220,SH,,DFND,4235978,0,410242
MONDELEZ INTL INC,CL A,609207105,20403,578000,SH,,DFND,578000,0,0
MOODYS CORP,COM,615369105,939594,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,996243,12695850,SH,,DFND,12695850,0,0
NATIONAL OILWELL VARCO INC,COM,637071101,335338,4216500,SH,,DFND,4216500,0,0
NATIONAL OILWELL VARCO INC,COM,637071101,370888,4663500,SH,,DFND,4663500,0,0
PHILLIPS 66,COM,718546104,501021,6495800,SH,,DFND,6495800,0,0
PHILLIPS 66,COM,718546104,702936,9113650,SH,,DFND,9113650,0,0
PHILLIPS 66,COM,718546104,77103,999650,SH,,DFND,999650,0,0
PHILLIPS 66,COM,718546104,814093,10554818,SH,,DFND,10554818,0,0
PRECISION CASTPARTS CORP,COM,740189105,319049,1184735,SH,,DFND,1184735,0,0
PRECISION CASTPARTS CORP,COM,740189105,213447,792601,SH,,DFND,792601,0,0
PROCTER & GAMBLE CO,COM,742718109,25677,315400,SH,,DFND,315400,0,0
PROCTER & GAMBLE CO,COM,742718109,1650995,20280000,SH,,DFND,20280000,0,0
PROCTER & GAMBLE CO,COM,742718109,127000,1560000,SH,,DFND,1560000,0,0
PROCTER & GAMBLE CO,COM,742718109,507998,6240000,SH,,DFND,6240000,0,0
PROCTER & GAMBLE CO,COM,742718109,507998,6240000,SH,,DFND,6240000,0,0
PROCTER & GAMBLE CO,COM,742718109,1414717,17377678,SH,,DFND,17377678,0,0
PROCTER & GAMBLE CO,COM,742718109,63500,780000,SH,,DFND,780000,0,0
SANOFI,SPONSORED ADR,80105N105,22600,421400,SH,,DFND,421400,0,0
SANOFI,SPONSORED ADR,80105N105,27337,509742,SH,,DFND,509742,0,0
SANOFI,SPONSORED ADR,80105N105,9080,169300,SH,,DFND,169300,0,0
SANOFI,SPONSORED ADR,80105N105,150455,2805433,SH,,DFND,2805433,0,0
STARZ,LIBRTY CAP COM A,85571Q102,76677,2622340,SH,,DFND,2622340,0,0
STARZ,LIBRTY CAP COM A,85571Q102,56127,1919541,SH,,DFND,1919541,0,0
SUNCOR ENERGY INC NEW,COM,867224107,455650,13000000,SH,,DFND,13000000,0,0
TORCHMARK CORP,COM,891027104,9091,116326,SH,,DFND,116326,0,0
TORCHMARK CORP,COM,891027104,52719,674592,SH,,DFND,674592,0,0
TORCHMARK CORP,COM,891027104,74989,959550,SH,,DFND,959550,0,0
TORCHMARK CORP,COM,891027104,194230,2485350,SH,,DFND,2485350,0,0
US BANCORP DEL,COM NEW,902973304,23847,590275,SH,,DFND,590275,0,0
US BANCORP DEL,COM NEW,902973304,124028,3070000,SH,,DFND,3070000,0,0
US BANCORP DEL,COM NEW,902973304,941615,23307300,SH,,DFND,23307300,0,0
US BANCORP DEL,COM NEW,902973304,512244,12679300,SH,,DFND,12679300,0,0
US BANCORP DEL,COM NEW,902973304,169874,4204800,SH,,DFND,4204800,0,0
US BANCORP DEL,COM NEW,902973304,123220,3050000,SH,,DFND,3050000,0,0
US BANCORP DEL,COM NEW,902973304,1239239,30674226,SH,,DFND,30674226,0,0
US BANCORP DEL,COM NEW,902973304,70498,1745000,SH,,DFND,1745000,0,0
U S G CORP,COM NEW,903293405,323632,11403509,SH,,DFND,11403509,0,0
U S G CORP,COM NEW,903293405,666552,23486665,SH,,DFND,23486665,0,0
UNITED PARCEL SERVICE INC,CL B,911312106,6242,59400,SH,,DFND,59400,0,0
VERISIGN INC,COM,92343E102,270325,4522000,SH,,DFND,4522000,0,0
VERISIGN INC,COM,92343E102,384955,6439520,SH,,DFND,6439520,0,0
VERISK ANALYTICS INC,CL A,92345Y106,102749,1563434,SH,,DFND,1563434,0,0
VIACOM INC NEW,CL B,92553P201,345342,3954000,SH,,DFND,3954000,0,0
VIACOM INC NEW,CL B,92553P201,319070,3653200,SH,,DFND,3653200,0,0
VISA INC,COM CL A,92826C839,346370,1555459,SH,,DFND,1555459,0,0
WABCO HLDGS INC,COM,92927K102,227326,2433632,SH,,DFND,2433632,0,0
WABCO HLDGS INC,COM,92927K102,153444,1642693,SH,,DFND,1642693,0,0
WAL MART STORES INC,COM,931142103,22820,290000,SH,,DFND,290000,0,0
WAL MART STORES INC,COM,931142103,13377,170000,SH,,DFND,170000,0,0
WAL MART STORES INC,COM,931142103,2321,29500,SH,,DFND,29500,0,0
WAL MART STORES INC,COM,931142103,330498,4200000,SH,,DFND,4200000,0,0
WAL MART STORES INC,COM,931142103,120698,1533840,SH,,DFND,1533840,0,0
WAL MART STORES INC,COM,931142103,20145,256000,SH,,DFND,256000,0,0
WAL MART STORES INC,COM,931142103,74441,946000,SH,,DFND,946000,0,0
WAL MART STORES INC,COM,931142103,140776,1789000,SH,,DFND,1789000,0,0
WAL MART STORES INC,COM,931142103,66808,849000,SH,,DFND,849000,0,0
WAL MART STORES INC,COM,931142103,3061780,38909393,SH,,DFND,38909393,0,0
WAL MART STORES INC,COM,931142103,40211,511000,SH,,DFND,511000,0,0
