Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ALLY FINL INC,COM,02005N100,576074081,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,126987499,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,191495178,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,142074730,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,219033763,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,57744750,1275000,SH,,DFND,1275000,0,0
ALPHABET INC,CAP STK CL A,02079K305,5585842446,17846142,SH,,DFND,17846142,0,0
AMAZON COM INC,COM,023135106,525346320,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,425421043,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,55145133598,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,517823824,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,188127120,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,1043942400,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,9243240,34000,SH,,DFND,34000,0,0
APPLE INC,COM,037833100,9440066640,34724000,SH,,DFND,34724000,0,0
APPLE INC,COM,037833100,740546640,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,4222529520,15532000,SH,,DFND,15532000,0,0
APPLE INC,COM,037833100,16731076718,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1958479440,7204000,SH,,DFND,7204000,0,0
APPLE INC,COM,037833100,3934357920,14472000,SH,,DFND,14472000,0,0
APPLE INC,COM,037833100,21929537965,80664820,SH,,DFND,80664820,0,0
APPLE INC,COM,037833100,737284320,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,1026543360,3776000,SH,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,3821403,96867,SH,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,588949,14929,SH,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,143282,3632,SH,,DFND,3632,0,0
BANK AMERICA CORP,COM,060505104,215600000,3920000,SH,,DFND,3920000,0,0
BANK AMERICA CORP,COM,060505104,654500000,11900000,SH,,DFND,11900000,0,0
BANK AMERICA CORP,COM,060505104,8002500,145500,SH,,DFND,145500,0,0
BANK AMERICA CORP,COM,060505104,1755073870,31910434,SH,,DFND,31910434,0,0
BANK AMERICA CORP,COM,060505104,115500000,2100000,SH,,DFND,2100000,0,0
BANK AMERICA CORP,COM,060505104,1155000000,21000000,SH,,DFND,21000000,0,0
BANK AMERICA CORP,COM,060505104,17094000000,310800000,SH,,DFND,310800000,0,0
BANK AMERICA CORP,COM,060505104,6914600000,125720000,SH,,DFND,125720000,0,0
BANK AMERICA CORP,COM,060505104,539000000,9800000,SH,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,469987663,1939213,SH,,DFND,1939213,0,0
CAPITAL ONE FINL CORP,COM,14040H105,744963017,3073787,SH,,DFND,3073787,0,0
CAPITAL ONE FINL CORP,COM,14040H105,517923320,2137000,SH,,DFND,2137000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,221459118,1060882,SH,,DFND,1060882,0,0
CHEVRON CORP NEW,COM,166764100,1759699645,11545828,SH,,DFND,11545828,0,0
CHEVRON CORP NEW,COM,166764100,2676929392,17564001,SH,,DFND,17564001,0,0
CHEVRON CORP NEW,COM,166764100,9357974,61400,SH,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,318841720,2092000,SH,,DFND,2092000,0,0
CHEVRON CORP NEW,COM,166764100,4955947671,32517208,SH,,DFND,32517208,0,0
CHEVRON CORP NEW,COM,166764100,435648744,2858400,SH,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,9385335405,61579525,SH,,DFND,61579525,0,0
CHEVRON CORP NEW,COM,166764100,295370580,1938000,SH,,DFND,1938000,0,0
