Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,181627,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1602651,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,78138,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,180786,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,743821,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,11188607,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,130229,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,300814,7414700,SH,,DFND,7414700,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,72779,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,267663,6597567,SH,,DFND,6597567,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,22314,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,229480,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,318958,1914282,SH,,DFND,1914282,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,713793,4283955,SH,,DFND,4283955,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,177708,4233151,SH,,DFND,4233151,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,271525,6467959,SH,,DFND,6467959,0,0
COCA COLA CO,COM,191216100,33776,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3389557,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,77009,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,608441,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,771714,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,11817006,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,149965,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,40531,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,614254,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1518745,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1402211,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,147418,1666300,SH,,DFND,1666300,0,0
DEERE & CO,COM,244199105,204584,2312467,SH,,DFND,2312467,0,0
DEERE & CO,COM,244199105,1160560,13118119,SH,,DFND,13118119,0,0
DIRECTV,COM,25490A309,583970,6735529,SH,,DFND,6735529,0,0
DIRECTV,COM,25490A309,1495590,17250170,SH,,DFND,17250170,0,0
DIRECTV,COM,25490A309,600534,6926575,SH,,DFND,6926575,0,0
DIRECTV,COM,25490A309,38252,441194,SH,,DFND,441194,0,0
GENERAL ELECTRIC CO,COM,369604103,14882,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,13533,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,126307,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,902,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,107361,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,4511,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,392914,11255056,SH,,DFND,11255056,0,0
GENERAL MTRS CO,COM,37045V100,792632,22705000,SH,,DFND,22705000,0,0
GENERAL MTRS CO,COM,37045V100,202560,5802344,SH,,DFND,5802344,0,0
GENERAL MTRS CO,COM,37045V100,43205,1237600,SH,,DFND,1237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,324086,1672012,SH,,DFND,1672012,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,848194,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1276090,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,41601,48165,SH,,DFND,0,0,48165
GRAHAM HLDGS CO,COM,384637104,51313,59410,SH,,DFND,0,0,59410
INTERNATIONAL BUSINESS MACHS,COM,459200101,13554,84480,SH,,DFND,84480,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,44602,278000,SH,,DFND,278000,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,110637,689588,SH,,DFND,689588,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,76177,474800,SH,,DFND,474800,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,135267,843100,SH,,DFND,843100,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,11969121,74601849,SH,,DFND,74601849,0,0
JOHNSON & JOHNSON,COM,478160104,34205,327100,SH,,DFND,327100,0,0
KRAFT FOODS GROUP INC,COM,50076Q106,12072,192666,SH,,DFND,192666,0,0
LEE ENTERPRISES INC,COM,523768109,327,88863,SH,,DFND,88863,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,46639,1322340,SH,,DFND,1322340,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,94441,2677660,SH,,DFND,2677660,0,0
LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,92643,2644680,SH,,DFND,2644680,0,0
LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,187597,5355320,SH,,DFND,5355320,0,0
M & T BK CORP,COM,55261F104,68589,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,20702,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,586802,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,465243,5399756,SH,,DFND,5399756,0,0
MEDIA GEN INC NEW,COM,58441K100,77731,4646220,SH,,DFND,4646220,0,0
MONDELEZ INTL INC,CL A,609207105,20996,578000,SH,,DFND,578000,0,0
MOODYS CORP,COM,615369105,1147222,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,1216389,12695850,SH,,DFND,12695850,0,0
NATIONAL OILWELL VARCO INC,COM,637071101,152893,2333178,SH,,DFND,2333178,0,0
NATIONAL OILWELL VARCO INC,COM,637071101,191689,2925207,SH,,DFND,2925207,0,0
NOW INC,COM,67011P100,16974,659694,SH,,DFND,659694,0,0
NOW INC,COM,67011P100,29998,1165875,SH,,DFND,1165875,0,0
PHILLIPS 66,COM,718546104,470897,6567600,SH,,DFND,6567600,0,0
PRECISION CASTPARTS CORP,COM,740189105,312634,1297883,SH,,DFND,1297883,0,0
PRECISION CASTPARTS CORP,COM,740189105,374762,1555805,SH,,DFND,1555805,0,0
PROCTER & GAMBLE CO,COM,742718109,28730,315400,SH,,DFND,315400,0,0
PROCTER & GAMBLE CO,COM,742718109,1847305,20280000,SH,,DFND,20280000,0,0
PROCTER & GAMBLE CO,COM,742718109,142100,1560000,SH,,DFND,1560000,0,0
PROCTER & GAMBLE CO,COM,742718109,568402,6240000,SH,,DFND,6240000,0,0
PROCTER & GAMBLE CO,COM,742718109,568402,6240000,SH,,DFND,6240000,0,0
PROCTER & GAMBLE CO,COM,742718109,1582933,17377678,SH,,DFND,17377678,0,0
PROCTER & GAMBLE CO,COM,742718109,71050,780000,SH,,DFND,780000,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,329428,8438225,SH,,DFND,8438225,0,0
SANOFI,SPONSORED ADR,80105N105,19220,421400,SH,,DFND,421400,0,0
SANOFI,SPONSORED ADR,80105N105,23249,509742,SH,,DFND,509742,0,0
SANOFI,SPONSORED ADR,80105N105,7722,169300,SH,,DFND,169300,0,0
SANOFI,SPONSORED ADR,80105N105,127956,2805433,SH,,DFND,2805433,0,0
SUNCOR ENERGY INC NEW,COM,867224107,201768,6348894,SH,,DFND,6348894,0,0
SUNCOR ENERGY INC NEW,COM,867224107,413140,13000000,SH,,DFND,13000000,0,0
SUNCOR ENERGY INC NEW,COM,867224107,95512,3005400,SH,,DFND,3005400,0,0
TORCHMARK CORP,COM,891027104,9452,174489,SH,,DFND,174489,0,0
TORCHMARK CORP,COM,891027104,54814,1011888,SH,,DFND,1011888,0,0
TORCHMARK CORP,COM,891027104,77968,1439325,SH,,DFND,1439325,0,0
TORCHMARK CORP,COM,891027104,201947,3728025,SH,,DFND,3728025,0,0
TWENTY FIRST CENTY FOX INC,CL A,90130A101,142785,3717867,SH,,DFND,3717867,0,0
TWENTY FIRST CENTY FOX INC,CL A,90130A101,39539,1029530,SH,,DFND,1029530,0,0
US BANCORP DEL,COM NEW,902973304,26533,590275,SH,,DFND,590275,0,0
US BANCORP DEL,COM NEW,902973304,137997,3070000,SH,,DFND,3070000,0,0
US BANCORP DEL,COM NEW,902973304,1064456,23680896,SH,,DFND,23680896,0,0
US BANCORP DEL,COM NEW,902973304,569935,12679300,SH,,DFND,12679300,0,0
US BANCORP DEL,COM NEW,902973304,189006,4204800,SH,,DFND,4204800,0,0
US BANCORP DEL,COM NEW,902973304,137098,3050000,SH,,DFND,3050000,0,0
US BANCORP DEL,COM NEW,902973304,1396786,31074226,SH,,DFND,31074226,0,0
US BANCORP DEL,COM NEW,902973304,78438,1745000,SH,,DFND,1745000,0,0
U S G CORP,COM NEW,903293405,392842,14035088,SH,,DFND,14035088,0,0
U S G CORP,COM NEW,903293405,698824,24966928,SH,,DFND,24966928,0,0
UNITED PARCEL SERVICE INC,CL B,911312106,6603,59400,SH,,DFND,59400,0,0
VERISIGN INC,COM,92343E102,287694,5047264,SH,,DFND,5047264,0,0
VERISIGN INC,COM,92343E102,452451,7937736,SH,,DFND,7937736,0,0
VERIZON COMMUNICATIONS INC,COM,92343V104,630951,13487628,SH,,DFND,13487628,0,0
VERIZON COMMUNICATIONS INC,COM,92343V104,70792,1513300,SH,,DFND,1513300,0,0
VERISK ANALYTICS INC,CL A,92345Y106,100138,1563434,SH,,DFND,1563434,0,0
VIACOM INC NEW,CL B,92553P201,297539,3954000,SH,,DFND,3954000,0,0
VIACOM INC NEW,CL B,92553P201,352184,4680190,SH,,DFND,4680190,0,0
VISA INC,COM CL A,92826C839,657936,2509290,SH,,DFND,2509290,0,0
WABCO HLDGS INC,COM,92927K102,254996,2433632,SH,,DFND,2433632,0,0
WABCO HLDGS INC,COM,92927K102,172121,1642693,SH,,DFND,1642693,0,0
WAL MART STORES INC,COM,931142103,26279,306000,SH,,DFND,306000,0,0
WAL MART STORES INC,COM,931142103,146855,1710000,SH,,DFND,1710000,0,0
WAL MART STORES INC,COM,931142103,2533,29500,SH,,DFND,29500,0,0
WAL MART STORES INC,COM,931142103,360696,4200000,SH,,DFND,4200000,0,0
WAL MART STORES INC,COM,931142103,131726,1533840,SH,,DFND,1533840,0,0
WAL MART STORES INC,COM,931142103,21985,256000,SH,,DFND,256000,0,0
WAL MART STORES INC,COM,931142103,81242,946000,SH,,DFND,946000,0,0
WAL MART STORES INC,COM,931142103,153639,1789000,SH,,DFND,1789000,0,0
WAL MART STORES INC,COM,931142103,394017,4588000,SH,,DFND,4588000,0,0
WAL MART STORES INC,COM,931142103,3777084,43980953,SH,,DFND,43980953,0,0
WAL MART STORES INC,COM,931142103,45946,535000,SH,,DFND,535000,0,0
WAL MART STORES INC,COM,931142103,43885,511000,SH,,DFND,511000,0,0
WELLS FARGO & CO NEW,COM,949746101,334373,6099470,SH,,DFND,6099470,0,0
WELLS FARGO & CO NEW,COM,949746101,901789,16450000,SH,,DFND,16450000,0,0
WELLS FARGO & CO NEW,COM,949746101,290738,5303500,SH,,DFND,5303500,0,0
WELLS FARGO & CO NEW,COM,949746101,373481,6812857,SH,,DFND,6812857,0,0
WELLS FARGO & CO NEW,COM,949746101,4103486,74853819,SH,,DFND,74853819,0,0
WELLS FARGO & CO NEW,COM,949746101,44952,820000,SH,,DFND,820000,0,0
WELLS FARGO & CO NEW,COM,949746101,93194,1700000,SH,,DFND,1700000,0,0
WELLS FARGO & CO NEW,COM,949746101,1977314,36069200,SH,,DFND,36069200,0,0
