Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,119862,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1057640,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,51566,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,126306,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,490871,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,7376711,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,85942,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,1069382,9811747,SH,,DFND,9811747,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,245527,6666492,SH,,DFND,6666492,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,66070,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,226887,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,20257,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,208325,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,570538,2818446,SH,,DFND,2818446,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,1519917,7508357,SH,,DFND,7508357,0,0
COCA COLA CO,COM,191216100,37112,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3724338,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,84615,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,668536,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,847935,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,12984153,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,164777,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,44534,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,682851,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1471422,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1358519,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,32307,419627,SH,,DFND,419627,0,0
DEERE & CO,COM,244199105,178037,2312467,SH,,DFND,2312467,0,0
DEERE & CO,COM,244199105,9252,120165,SH,,DFND,120165,0,0
DEERE & CO,COM,244199105,1495243,19421261,SH,,DFND,19421261,0,0
DEERE & CO,COM,244199105,77565,1007474,SH,,DFND,1007474,0,0
GENERAL ELECTRIC CO,COM,369604103,18721,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,17025,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,158896,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,1135,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,135062,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,5675,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,435741,13863853,SH,,DFND,13863853,0,0
GENERAL MTRS CO,COM,37045V100,782205,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,314656,10011338,SH,,DFND,10011338,0,0
GENERAL MTRS CO,COM,37045V100,38898,1237600,SH,,DFND,1237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,686939,4375968,SH,,DFND,4375968,0,0
