Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,175751,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1550803,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,75610,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,174937,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,719757,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,10826637,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,126016,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,283777,8041300,SH,,DFND,8041300,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,63307,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,303889,8611200,SH,,DFND,8611200,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,19410,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,199614,5656400,SH,,DFND,5656400,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,419836,4817400,SH,,DFND,4817400,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,412512,4733355,SH,,DFND,4733355,0,0
COCA COLA CO,COM,191216100,30928,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3103749,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,70516,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,557137,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,706643,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,10820594,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,137320,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,37114,960000,SH,,DFND,960000,0,0
CONOCOPHILLIPS,COM,20825C104,96970,1378400,SH,,DFND,1378400,0,0
CONOCOPHILLIPS,COM,20825C104,682505,9701558,SH,,DFND,9701558,0,0
COSTCO WHSL CORP NEW,COM,22160K105,483950,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1315563,19107670,SH,,DFND,19107670,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1274653,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,151300,1666300,SH,,DFND,1666300,0,0
DEERE & CO,COM,244199105,209972,2312467,SH,,DFND,2312467,0,0
DIRECTV,COM,25490A309,938117,12275800,SH,,DFND,12275800,0,0
DIRECTV,COM,25490A309,1699497,22238900,SH,,DFND,22238900,0,0
EXXON MOBIL CORP,COM,30231G102,1036131,10607400,SH,,DFND,10607400,0,0
EXXON MOBIL CORP,COM,30231G102,269665,2760700,SH,,DFND,2760700,0,0
EXXON MOBIL CORP,COM,30231G102,2711748,27761543,SH,,DFND,27761543,0,0
GENERAL ELECTRIC CO,COM,369604103,15247,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,13865,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,129406,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,924,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,109995,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,4622,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,285514,8295000,SH,,DFND,8295000,0,0
GENERAL MTRS CO,COM,37045V100,747086,21705000,SH,,DFND,21705000,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,273959,1672012,SH,,DFND,1672012,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,717002,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1078715,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,104374,148311,SH,,DFND,0,0,148311
GRAHAM HLDGS CO,COM,384637104,456146,648165,SH,,DFND,0,0,648165
GRAHAM HLDGS CO,COM,384637104,655395,931289,SH,,DFND,0,0,931289
INTERNATIONAL BUSINESS MACHS,COM,459200101,16262,84480,SH,,DFND,84480,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,115030,597588,SH,,DFND,597588,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,91394,474800,SH,,DFND,474800,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,44869,233100,SH,,DFND,233100,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,12890115,66965116,SH,,DFND,66965116,0,0
JOHNSON & JOHNSON,COM,478160104,32131,327100,SH,,DFND,327100,0,0
KRAFT FOODS GROUP INC,COM,50076Q106,10809,192666,SH,,DFND,192666,0,0
LEE ENTERPRISES INC,COM,523768109,397,88863,SH,,DFND,88863,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,342819,2622340,SH,,DFND,2622340,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,350050,2677660,SH,,DFND,2677660,0,0
M & T BK CORP,COM,55261F104,66230,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,19990,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,566622,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,302535,4050000,SH,,DFND,4050000,0,0
MEDIA GEN INC,CL A,584404107,85351,4646220,SH,,DFND,4235978,0,410242
MONDELEZ INTL INC,CL A,609207105,19970,578000,SH,,DFND,578000,0,0
MOODYS CORP,COM,615369105,949772,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,1007035,12695850,SH,,DFND,12695850,0,0
NATIONAL OILWELL VARCO INC,COM,637071101,328339,4216500,SH,,DFND,4216500,0,0
NATIONAL OILWELL VARCO INC,COM,637071101,363147,4663500,SH,,DFND,4663500,0,0
PHILLIPS 66,COM,718546104,500566,6495800,SH,,DFND,6495800,0,0
PHILLIPS 66,COM,718546104,173065,2245853,SH,,DFND,2245853,0,0
PHILLIPS 66,COM,718546104,77033,999650,SH,,DFND,999650,0,0
PRECISION CASTPARTS CORP,COM,740189105,299454,1184735,SH,,DFND,1184735,0,0
PRECISION CASTPARTS CORP,COM,740189105,200338,792601,SH,,DFND,792601,0,0
