Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,152501,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1345648,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,65608,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,151795,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,624541,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,9394389,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,109346,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,291124,7234700,SH,,DFND,7234700,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,72187,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,219122,5445384,SH,,DFND,5445384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,22133,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,227614,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,316228,1637553,SH,,DFND,1637553,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,838403,4341583,SH,,DFND,4341583,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,208525,4233151,SH,,DFND,4233151,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,318612,6467959,SH,,DFND,6467959,0,0
COCA COLA CO,COM,191216100,32440,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3255484,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,73963,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,584374,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,741189,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,11349588,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,144034,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,38928,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,656483,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1629834,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1504776,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,86787,989700,SH,,DFND,989700,0,0
DEERE & CO,COM,244199105,202780,2312467,SH,,DFND,2312467,0,0
DEERE & CO,COM,244199105,1228355,14007923,SH,,DFND,14007923,0,0
DIRECTV,COM,25490A309,573194,6735529,SH,,DFND,6735529,0,0
DIRECTV,COM,25490A309,1467989,17250170,SH,,DFND,17250170,0,0
DIRECTV,COM,25490A309,589452,6926575,SH,,DFND,6926575,0,0
DIRECTV,COM,25490A309,37546,441194,SH,,DFND,441194,0,0
GENERAL ELECTRIC CO,COM,369604103,14611,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,13287,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,124008,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,886,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,105407,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,4429,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,422065,11255056,SH,,DFND,11255056,0,0
GENERAL MTRS CO,COM,37045V100,851438,22705000,SH,,DFND,22705000,0,0
GENERAL MTRS CO,COM,37045V100,217588,5802344,SH,,DFND,5802344,0,0
