Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ALLY FINL INC,COM,02005N100,495431341,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,109210931,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,164688390,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,122186150,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,188371938,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,49661250,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1694568360,7724000,SH,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,499331640,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,366808499,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,47547492134,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,446480453,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,141977640,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,787852800,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,6975780,34000,SH,,DFND,34000,0,0
APPLE INC,COM,037833100,7124323080,34724000,SH,,DFND,34724000,0,0
APPLE INC,COM,037833100,558883080,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,3186700440,15532000,SH,,DFND,15532000,0,0
APPLE INC,COM,037833100,12626774848,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1478044680,7204000,SH,,DFND,7204000,0,0
APPLE INC,COM,037833100,2969220240,14472000,SH,,DFND,14472000,0,0
APPLE INC,COM,037833100,27235704452,132747012,SH,,DFND,132747012,0,0
APPLE INC,COM,037833100,556421040,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,774721920,3776000,SH,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,5061309,108217,SH,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4530470,96867,SH,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,698229,14929,SH,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,169869,3632,SH,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,185494400,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,563108000,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,6885060,145500,SH,,DFND,145500,0,0
BANK AMER CORP,COM,060505104,5672810325,119881875,SH,,DFND,119881875,0,0
BANK AMER CORP,COM,060505104,99372000,2100000,SH,,DFND,2100000,0,0
