Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ALLY FINL INC,COM,02005N100,444171051,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,97911315,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,147648744,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,109544040,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,168881850,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,44523000,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1173584560,7724000,SH,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,345815440,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,215430134,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,27925096170,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,262222233,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,133230760,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,739315200,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,4677323820,24294000,SH,,DFND,24294000,0,0
APPLE INC,COM,037833100,11387748267,59147916,SH,,DFND,59147916,0,0
APPLE INC,COM,037833100,524451720,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,3932272574,20424207,SH,,DFND,20424207,0,0
APPLE INC,COM,037833100,11848871480,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,2339624560,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,9209094960,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,128306398819,666422889,SH,,DFND,666422889,0,0
APPLE INC,COM,037833100,522141360,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,726993280,3776000,SH,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4283229,108217,SH,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,3833996,96867,SH,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,590890,14929,SH,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,143755,3632,SH,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,131986400,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,400673000,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,588635775,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,4713800000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1059864260,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,70707000,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,766039638,22751400,SH,,DFND,22751400,0,0
BANK AMER CORP,COM,060505104,10497632600,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,404006330,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,1335857250,39675000,SH,,DFND,39675000,0,0
BANK AMER CORP,COM,060505104,13534198789,401966106,SH,,DFND,401966106,0,0
BANK AMER CORP,COM,060505104,942760000,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,329966000,9800000,SH,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,131120000,1000000,SH,,DFND,1000000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,654123458,4988739,SH,,DFND,4988739,0,0
CAPITAL ONE FINL CORP,COM,14040H105,514028556,3920291,SH,,DFND,3920291,0,0
CAPITAL ONE FINL CORP,COM,14040H105,280203440,2137000,SH,,DFND,2137000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,55726000,425000,SH,,DFND,425000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1488232788,3828941,SH,,DFND,3828941,0,0
CHEVRON CORP NEW,COM,166764100,2619846389,17564001,SH,,DFND,17564001,0,0
CHEVRON CORP NEW,COM,166764100,9158424,61400,SH,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,312042720,2092000,SH,,DFND,2092000,0,0
CHEVRON CORP NEW,COM,166764100,5966400000,40000000,SH,,DFND,40000000,0,0
CHEVRON CORP NEW,COM,166764100,426358944,2858400,SH,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,9185201949,61579525,SH,,DFND,61579525,0,0
CHEVRON CORP NEW,COM,166764100,289072080,1938000,SH,,DFND,1938000,0,0
CITIGROUP INC,COM NEW,172967424,187498800,3645000,SH,,DFND,3645000,0,0
CITIGROUP INC,COM NEW,172967424,4578160,89000,SH,,DFND,89000,0,0
CITIGROUP INC,COM NEW,172967424,1461154486,28405025,SH,,DFND,28405025,0,0
CITIGROUP INC,COM NEW,172967424,292449260,5685250,SH,,DFND,5685250,0,0
CITIGROUP INC,COM NEW,172967424,741122932,14407522,SH,,DFND,14407522,0,0
CITIGROUP INC,COM NEW,172967424,154988720,3013000,SH,,DFND,3013000,0,0
COCA COLA CO,COM,191216100,47144000,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,21890786,371471,SH,,DFND,371471,0,0
COCA COLA CO,COM,191216100,5009050,85000,SH,,DFND,85000,0,0
COCA COLA CO,COM,191216100,4731088976,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,107488320,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,849252016,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,883384272,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,16660850420,282722729,SH,,DFND,282722729,0,0
COCA COLA CO,COM,191216100,209319360,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,56572800,960000,SH,,DFND,960000,0,0
DAVITA INC,COM,23918K108,1841899539,17582088,SH,,DFND,17582088,0,0
DAVITA INC,COM,23918K108,1939472374,18513482,SH,,DFND,18513482,0,0
DIAGEO P L C,SPON ADR NEW,25243Q205,33174065,227750,SH,,DFND,227750,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,234833800,2105000,SH,,DFND,2105000,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,130067804,1165900,SH,,DFND,1165900,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,9022973,80880,SH,,DFND,80880,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,107110987,960120,SH,,DFND,960120,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,52221236,468100,SH,,DFND,468100,0,0
HP INC,COM,40434L105,90541713,3009030,SH,,DFND,3009030,0,0
HP INC,COM,40434L105,103282872,3432465,SH,,DFND,3432465,0,0
HP INC,COM,40434L105,397230728,13201420,SH,,DFND,13201420,0,0
HP INC,COM,40434L105,96582882,3209800,SH,,DFND,3209800,0,0
JEFFERIES FINL GROUP INC,COM,47233W109,17520079,433558,SH,,DFND,433558,0,0
