Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,185200,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1634174,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,79675,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,184342,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,758451,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,11408675,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,132791,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,301388,8041300,SH,,DFND,8041300,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,67236,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,322748,8611200,SH,,DFND,8611200,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,20615,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,212002,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,147309,930099,SH,,DFND,930099,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,218392,1378914,SH,,DFND,1378914,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,288701,4233151,SH,,DFND,4233151,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,441115,6467959,SH,,DFND,6467959,0,0
COCA COLA CO,COM,191216100,33888,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3400796,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,77265,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,610458,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,774273,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,11856191,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,150463,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,40666,960000,SH,,DFND,960000,0,0
CONOCOPHILLIPS,COM,20825C104,116184,1355228,SH,,DFND,1355228,0,0
COSTCO WHSL CORP NEW,COM,22160K105,499030,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1381867,19107670,SH,,DFND,19107670,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1338895,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,150883,1666300,SH,,DFND,1666300,0,0
DEERE & CO,COM,244199105,209394,2312467,SH,,DFND,2312467,0,0
DIRECTV,COM,25490A309,580245,6825606,SH,,DFND,6825606,0,0
DIRECTV,COM,25490A309,1414769,16642389,SH,,DFND,16642389,0,0
EXXON MOBIL CORP,COM,30231G102,1067953,10607400,SH,,DFND,10607400,0,0
EXXON MOBIL CORP,COM,30231G102,277947,2760700,SH,,DFND,2760700,0,0
EXXON MOBIL CORP,COM,30231G102,2795032,27761543,SH,,DFND,27761543,0,0
GENERAL ELECTRIC CO,COM,369604103,15476,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,14074,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,131355,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,938,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,111652,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,4691,178510,SH,,DFND,178510,0,0
