Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ALLY FINL INC,COM,02005N100,516291608,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,113809286,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,171622638,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,127330830,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,196303388,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,51752250,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1393255120,7724000,SH,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,410544880,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,261830294,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,33939709336,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,318700653,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,118664160,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,658483200,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,3756728280,21907676,SH,,DFND,21907676,0,0
APPLE INC,COM,037833100,9744179520,56824000,SH,,DFND,56824000,0,0
APPLE INC,COM,037833100,467111520,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,2698444776,15736207,SH,,DFND,15736207,0,0
APPLE INC,COM,037833100,10553391582,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,2083824960,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,8202231360,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,95965280207,559629579,SH,,DFND,559629579,0,0
APPLE INC,COM,037833100,465053760,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,647508480,3776000,SH,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4226956,108217,SH,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,3783625,96867,SH,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,583127,14929,SH,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,141866,3632,SH,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,148646400,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,451248000,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,662936400,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,5308800000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1193645760,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,79632000,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,862733088,22751400,SH,,DFND,22751400,0,0
BANK AMER CORP,COM,060505104,11822697600,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,455002080,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,1504476000,39675000,SH,,DFND,39675000,0,0
BANK AMER CORP,COM,060505104,15242554740,401966106,SH,,DFND,401966106,0,0
BANK AMER CORP,COM,060505104,1061760000,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,371616000,9800000,SH,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,148890000,1000000,SH,,DFND,1000000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,742773350,4988739,SH,,DFND,4988739,0,0
CAPITAL ONE FINL CORP,COM,14040H105,583692127,3920291,SH,,DFND,3920291,0,0
CAPITAL ONE FINL CORP,COM,14040H105,318177930,2137000,SH,,DFND,2137000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,63278250,425000,SH,,DFND,425000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1112805123,3828941,SH,,DFND,3828941,0,0
CHEVRON CORP NEW,COM,166764100,2770545518,17564001,SH,,DFND,17564001,0,0
CHEVRON CORP NEW,COM,166764100,9685236,61400,SH,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,329992080,2092000,SH,,DFND,2092000,0,0
CHEVRON CORP NEW,COM,166764100,5818536609,36886881,SH,,DFND,36886881,0,0
CHEVRON CORP NEW,COM,166764100,450884016,2858400,SH,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,9713554274,61579525,SH,,DFND,61579525,0,0
