Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ACTIVISION BLIZZARD INC,COM,00507V109,59096600,772000,SH,,DFND,772000,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,1302218536,17011346,SH,,DFND,17011346,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,87624642,1144672,SH,,DFND,1144672,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,2581271971,33720078,SH,,DFND,33720078,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,5280342,68979,SH,,DFND,68979,0,0
ALLY FINL INC,COM,02005N100,330556054,13519675,SH,,DFND,13519675,0,0
ALLY FINL INC,COM,02005N100,68554744,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,103379490,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,76699650,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,118246313,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,31173750,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,704760000,8390000,SH,,DFND,8390000,0,0
AMAZON COM INC,COM,023135106,191184000,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,169903931,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,124085178,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,21899684221,148221213,SH,,DFND,148221213,0,0
AMERICAN EXPRESS CO,COM,025816109,206807596,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,133289470,1025856,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,498931200,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,3156519420,24260000,SH,,DFND,24260000,0,0
APPLE INC,COM,037833100,8215023563,62206534,SH,,DFND,62206534,0,0
APPLE INC,COM,037833100,353929320,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,8468657967,65178619,SH,,DFND,65178619,0,0
APPLE INC,COM,037833100,1578909360,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,6214811760,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,86841985318,669429166,SH,,DFND,669429166,0,0
APPLE INC,COM,037833100,352370160,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,490615680,3776000,SH,,DFND,3776000,0,0
BANK AMER CORP,COM,060505104,129830400,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,394128000,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,579020400,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,4636800000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1042551360,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,69552000,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,10326153600,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,397406880,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,1314036000,39675000,SH,,DFND,39675000,0,0
BANK AMER CORP,COM,060505104,13313117431,401966106,SH,,DFND,401966106,0,0
BANK AMER CORP,COM,060505104,927360000,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,324576000,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,28356320,622942,SH,,DFND,622942,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,36142425,793990,SH,,DFND,793990,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,81659011,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,34276560,753000,SH,,DFND,753000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,280420680,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,146228994,3212412,SH,,DFND,3212412,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,72832000,1600000,SH,,DFND,1600000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,461264356,10133224,SH,,DFND,10133224,0,0
CELANESE CORP DEL,COM,150870103,112668480,1102000,SH,,DFND,1102000,0,0
CELANESE CORP DEL,COM,150870103,16399296,160400,SH,,DFND,160400,0,0
CELANESE CORP DEL,COM,150870103,289185840,2828500,SH,,DFND,2828500,0,0
CELANESE CORP DEL,COM,150870103,108560170,1061817,SH,,DFND,1061817,0,0
CELANESE CORP DEL,COM,150870103,465955324,4557466,SH,,DFND,4557466,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1298393893,3828941,SH,,DFND,3828941,0,0
CHEVRON CORP NEW,COM,166764100,157412730,877000,SH,,DFND,877000,0,0
CHEVRON CORP NEW,COM,166764100,277986932,1548760,SH,,DFND,1548760,0,0
CHEVRON CORP NEW,COM,166764100,112988955,629500,SH,,DFND,629500,0,0
CHEVRON CORP NEW,COM,166764100,4443291643,24753785,SH,,DFND,24753785,0,0
CHEVRON CORP NEW,COM,166764100,11020686,61400,SH,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,11181526989,62296100,SH,,DFND,62296100,0,0
CHEVRON CORP NEW,COM,166764100,513054216,2858400,SH,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,785949556,4380101,SH,,DFND,4380101,0,0
CHEVRON CORP NEW,COM,166764100,11417309540,63609725,SH,,DFND,63609725,0,0
CHEVRON CORP NEW,COM,166764100,351979890,1961000,SH,,DFND,1961000,0,0
CITIGROUP INC,COM NEW,172967424,164863350,3645000,SH,,DFND,3645000,0,0
CITIGROUP INC,COM NEW,172967424,1284759281,28405025,SH,,DFND,28405025,0,0
CITIGROUP INC,COM NEW,172967424,257143858,5685250,SH,,DFND,5685250,0,0
CITIGROUP INC,COM NEW,172967424,651652220,14407522,SH,,DFND,14407522,0,0
CITIGROUP INC,COM NEW,172967424,136277990,3013000,SH,,DFND,3013000,0,0
