Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,151720,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1338758,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,65272,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,151018,1943100,SH,,DFND,1943100,0,0
AMERICAN EXPRESS CO,COM,025816109,621343,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,9346287,120255879,SH,,DFND,120255879,0,0
AMERICAN EXPRESS CO,COM,025816109,108786,1399713,SH,,DFND,1399713,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,303640,7234700,SH,,DFND,7234700,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,75291,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,228543,5445384,SH,,DFND,5445384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,23084,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,237399,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,280431,1637553,SH,,DFND,1637553,0,0
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,1177708,6877125,SH,,DFND,6877125,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,143062,2858962,SH,,DFND,2858962,0,0
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,323657,6467959,SH,,DFND,6467959,0,0
COCA COLA CO,COM,191216100,31384,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3149510,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,71556,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,565351,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,717062,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,10980132,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,139345,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,37661,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,585264,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1593539,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1471266,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,96050,989700,SH,,DFND,989700,0,0
DEERE & CO,COM,244199105,224425,2312467,SH,,DFND,2312467,0,0
DEERE & CO,COM,244199105,1359469,14007923,SH,,DFND,14007923,0,0
DIRECTV,COM,25490A309,624990,6735529,SH,,DFND,6735529,0,0
DIRECTV,COM,25490A309,1600643,17250170,SH,,DFND,17250170,0,0
DIRECTV,COM,25490A309,642717,6926575,SH,,DFND,6926575,0,0
DIRECTV,COM,25490A309,40938,441194,SH,,DFND,441194,0,0
GENERAL ELECTRIC CO,COM,369604103,15647,588900,SH,,DFND,588900,0,0
GENERAL ELECTRIC CO,COM,369604103,14229,535532,SH,,DFND,535532,0,0
GENERAL ELECTRIC CO,COM,369604103,132805,4998302,SH,,DFND,4998302,0,0
GENERAL ELECTRIC CO,COM,369604103,949,35702,SH,,DFND,35702,0,0
GENERAL ELECTRIC CO,COM,369604103,112884,4248556,SH,,DFND,4248556,0,0
GENERAL ELECTRIC CO,COM,369604103,4743,178510,SH,,DFND,178510,0,0
GENERAL MTRS CO,COM,37045V100,375131,11255056,SH,,DFND,11255056,0,0
GENERAL MTRS CO,COM,37045V100,756758,22705000,SH,,DFND,22705000,0,0
GENERAL MTRS CO,COM,37045V100,193392,5802344,SH,,DFND,5802344,0,0
GENERAL MTRS CO,COM,37045V100,41249,1237600,SH,,DFND,1237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,349099,1672012,SH,,DFND,1672012,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,913658,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1374580,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,51780,48165,SH,,DFND,0,0,48165
GRAHAM HLDGS CO,COM,384637104,63869,59410,SH,,DFND,0,0,59410
INTERNATIONAL BUSINESS MACHS,COM,459200101,13742,84480,SH,,DFND,84480,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,45219,278000,SH,,DFND,278000,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,112168,689588,SH,,DFND,689588,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,77231,474800,SH,,DFND,474800,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,137139,843100,SH,,DFND,843100,0,0
INTERNATIONAL BUSINESS MACHS,COM,459200101,12556563,77195147,SH,,DFND,77195147,0,0
JOHNSON & JOHNSON,COM,478160104,31879,327100,SH,,DFND,327100,0,0
KRAFT FOODS GROUP INC,COM,50076Q106,16404,192666,SH,,DFND,192666,0,0
LEE ENTERPRISES INC,COM,523768109,296,88863,SH,,DFND,88863,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,47657,1322340,SH,,DFND,1322340,0,0
LIBERTY MEDIA CORP DELAWARE,CL A,531229102,96503,2677660,SH,,DFND,2677660,0,0
LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,94944,2644680,SH,,DFND,2644680,0,0
LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,192256,5355320,SH,,DFND,5355320,0,0
M & T BK CORP,COM,55261F104,68212,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,20588,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,583579,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,488878,5229756,SH,,DFND,5229756,0,0
MEDIA GEN INC NEW,COM,58441K100,76756,4646220,SH,,DFND,4646220,0,0
MONDELEZ INTL INC,CL A,609207105,23779,578000,SH,,DFND,578000,0,0
MOODYS CORP,COM,615369105,1292705,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,1370644,12695850,SH,,DFND,12695850,0,0
NOW INC,COM,67011P100,13135,659694,SH,,DFND,659694,0,0
NOW INC,COM,67011P100,23213,1165875,SH,,DFND,1165875,0,0
PRECISION CASTPARTS CORP,COM,740189105,300941,1505683,SH,,DFND,1505683,0,0
PRECISION CASTPARTS CORP,COM,740189105,538671,2695109,SH,,DFND,2695109,0,0
PROCTER & GAMBLE CO,COM,742718109,24677,315400,SH,,DFND,315400,0,0
PROCTER & GAMBLE CO,COM,742718109,1586707,20280000,SH,,DFND,20280000,0,0
PROCTER & GAMBLE CO,COM,742718109,122054,1560000,SH,,DFND,1560000,0,0
PROCTER & GAMBLE CO,COM,742718109,488218,6240000,SH,,DFND,6240000,0,0
PROCTER & GAMBLE CO,COM,742718109,488218,6240000,SH,,DFND,6240000,0,0
PROCTER & GAMBLE CO,COM,742718109,1359630,17377678,SH,,DFND,17377678,0,0
PROCTER & GAMBLE CO,COM,742718109,61027,780000,SH,,DFND,780000,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,322425,8438225,SH,,DFND,8438225,0,0
SANOFI,SPONSORED ADR,80105N105,20872,421400,SH,,DFND,421400,0,0
SANOFI,SPONSORED ADR,80105N105,25248,509742,SH,,DFND,509742,0,0
SANOFI,SPONSORED ADR,80105N105,8385,169300,SH,,DFND,169300,0,0
SANOFI,SPONSORED ADR,80105N105,138953,2805433,SH,,DFND,2805433,0,0
SUNCOR ENERGY INC NEW,COM,867224107,174722,6348894,SH,,DFND,6348894,0,0
SUNCOR ENERGY INC NEW,COM,867224107,357760,13000000,SH,,DFND,13000000,0,0
SUNCOR ENERGY INC NEW,COM,867224107,82709,3005400,SH,,DFND,3005400,0,0
TORCHMARK CORP,COM,891027104,10159,174489,SH,,DFND,174489,0,0
TORCHMARK CORP,COM,891027104,58912,1011888,SH,,DFND,1011888,0,0
TORCHMARK CORP,COM,891027104,83798,1439325,SH,,DFND,1439325,0,0
TORCHMARK CORP,COM,891027104,217046,3728025,SH,,DFND,3728025,0,0
TWENTY FIRST CENTY FOX INC,CL A,90130A101,120998,3717867,SH,,DFND,3717867,0,0
TWENTY FIRST CENTY FOX INC,CL A,90130A101,81695,2510230,SH,,DFND,2510230,0,0
US BANCORP DEL,COM NEW,902973304,26877,619275,SH,,DFND,619275,0,0
US BANCORP DEL,COM NEW,902973304,133238,3070000,SH,,DFND,3070000,0,0
