Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMAZON COM INC,COM,023135106,817908,419500,SH,,DFND,419500,0,0
AMAZON COM INC,COM,023135106,221878,113800,SH,,DFND,113800,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,245641,20151000,SH,,DFND,20151000,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,265230,21758000,SH,,DFND,21758000,0,0
AMERICAN EXPRESS CO,COM,025816109,167123,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1474666,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,71898,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,176108,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,684421,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,10285346,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,119829,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,43992,173000,SH,,DFND,173000,0,0
APPLE INC,COM,037833100,244118,960000,SH,,DFND,960000,0,0
APPLE INC,COM,037833100,1542269,6065000,SH,,DFND,6065000,0,0
APPLE INC,COM,037833100,4367382,17174807,SH,,DFND,17174807,0,0
APPLE INC,COM,037833100,173171,681000,SH,,DFND,681000,0,0
APPLE INC,COM,037833100,3912442,15385747,SH,,DFND,15385747,0,0
APPLE INC,COM,037833100,772533,3038000,SH,,DFND,3038000,0,0
APPLE INC,COM,037833100,3040800,11958000,SH,,DFND,11958000,0,0
APPLE INC,COM,037833100,47831443,188098012,SH,,DFND,188098012,0,0
APPLE INC,COM,037833100,172409,678000,SH,,DFND,678000,0,0
APPLE INC,COM,037833100,240050,944000,SH,,DFND,944000,0,0
BANK AMER CORP,COM,060505104,83222,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,252637,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,176368,8307500,SH,,DFND,8307500,0,0
BANK AMER CORP,COM,060505104,2972200,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,650232,30628000,SH,,DFND,30628000,0,0
BANK AMER CORP,COM,060505104,44583,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,6619089,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,254739,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,366748,17275000,SH,,DFND,17275000,0,0
BANK AMER CORP,COM,060505104,7415620,349299100,SH,,DFND,349299100,0,0
BANK AMER CORP,COM,060505104,594440,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,208054,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,252979,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,72345,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,60419,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,15392,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,26136,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,218596,6490384,SH,,DFND,6490384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,246504,7319000,SH,,DFND,7319000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,129818,3854463,SH,,DFND,3854463,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,1505134,44689264,SH,,DFND,44689264,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,72075,2140000,SH,,DFND,2140000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,87089,2585782,SH,,DFND,2585782,0,0
BIOGEN INC,COM,09062X103,148168,468322,SH,,DFND,468322,0,0
BIOGEN INC,COM,09062X103,55272,174700,SH,,DFND,174700,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,2367684,5426609,SH,,DFND,5426609,0,0
COCA COLA CO,COM,191216100,35400,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3552532,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,80712,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,637696,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,663325,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,12530680,283179200,SH,,DFND,283179200,0,0
COCA COLA CO,COM,191216100,157176,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,42480,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,1235572,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1489414,19582088,SH,,DFND,19582088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1408135,18513482,SH,,DFND,18513482,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,199514,6993123,SH,,DFND,6993123,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,1851421,64893840,SH,,DFND,64893840,0,0
GENERAL MTRS CO,COM,37045V100,554307,26675000,SH,,DFND,26675000,0,0
GENERAL MTRS CO,COM,37045V100,517156,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,174601,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,305808,14716453,SH,,DFND,14716453,0,0
GLOBE LIFE INC,COM,37959E102,12558,174489,SH,,DFND,174489,0,0
GLOBE LIFE INC,COM,37959E102,72826,1011888,SH,,DFND,1011888,0,0
GLOBE LIFE INC,COM,37959E102,103588,1439325,SH,,DFND,1439325,0,0
GLOBE LIFE INC,COM,37959E102,268306,3728025,SH,,DFND,3728025,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,191838,1240945,SH,,DFND,1240945,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,105003,679235,SH,,DFND,679235,0,0
JPMORGAN CHASE & CO,COM,46625H100,82197,913000,SH,,DFND,913000,0,0
JPMORGAN CHASE & CO,COM,46625H100,164674,1829100,SH,,DFND,1829100,0,0
JPMORGAN CHASE & CO,COM,46625H100,19491,216500,SH,,DFND,216500,0,0
JPMORGAN CHASE & CO,COM,46625H100,24668,274000,SH,,DFND,274000,0,0
JPMORGAN CHASE & CO,COM,46625H100,156202,1735000,SH,,DFND,1735000,0,0
JPMORGAN CHASE & CO,COM,46625H100,4564146,50695833,SH,,DFND,50695833,0,0
JPMORGAN CHASE & CO,COM,46625H100,184652,2051000,SH,,DFND,2051000,0,0
JOHNSON & JOHNSON,COM,478160104,42893,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,8056205,325634818,SH,,DFND,325634818,0,0
KROGER CO,COM,501044101,570475,18940079,SH,,DFND,18940079,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,136524,4308117,SH,,DFND,4308117,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,246922,7791780,SH,,DFND,7791780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,29579,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,57900,1827072,SH,,DFND,1827072,0,0
