Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN AIRLS GROUP INC,COM,02376R102,1094057,21742000,SH,,DFND,21742000,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,1182429,23498200,SH,,DFND,23498200,0,0
AMERICAN AIRLS GROUP INC,COM,02376R102,88553,1759800,SH,,DFND,1759800,0,0
AMERICAN EXPRESS CO,COM,025816109,164448,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1451068,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,70747,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,173290,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,673468,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,10120752,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,117912,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,102254,710000,SH,,DFND,710000,0,0
APPLE INC,COM,037833100,138259,960000,SH,,DFND,960000,0,0
APPLE INC,COM,037833100,2009223,13951000,SH,,DFND,13951000,0,0
APPLE INC,COM,037833100,98078,681000,SH,,DFND,681000,0,0
APPLE INC,COM,037833100,2215855,15385747,SH,,DFND,15385747,0,0
APPLE INC,COM,037833100,437533,3038000,SH,,DFND,3038000,0,0
APPLE INC,COM,037833100,1722191,11958000,SH,,DFND,11958000,0,0
APPLE INC,COM,037833100,11793252,81886213,SH,,DFND,81886213,0,0
APPLE INC,COM,037833100,97646,678000,SH,,DFND,678000,0,0
APPLE INC,COM,037833100,135955,944000,SH,,DFND,944000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,383224,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,109591,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,91526,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,23316,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,39592,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,314303,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,373415,7319000,SH,,DFND,7319000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,1118565,21924040,SH,,DFND,21924040,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,109183,2140000,SH,,DFND,2140000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,894147,2654437,SH,,DFND,2654437,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,2286893,6789054,SH,,DFND,6789054,0,0
COCA COLA CO,COM,191216100,35880,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3600702,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,81806,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,646342,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,672319,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,12700587,283179200,SH,,DFND,283179200,0,0
COCA COLA CO,COM,191216100,159307,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,43056,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,693035,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1298573,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1198933,18513482,SH,,DFND,18513482,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,375810,6993123,SH,,DFND,6993123,0,0
DELTA AIR LINES INC DEL,COM NEW,247361702,2478342,46117272,SH,,DFND,46117272,0,0
GENERAL MTRS CO,COM,37045V100,540467,15472853,SH,,DFND,15472853,0,0
GENERAL MTRS CO,COM,37045V100,869310,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,293494,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,392529,11237600,SH,,DFND,11237600,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,971027,4375968,SH,,DFND,4375968,0,0
GOLDMAN SACHS GROUP INC,COM,38141G104,1460890,6583551,SH,,DFND,6583551,0,0
GRAHAM HLDGS CO,COM,384637104,28882,48165,SH,,DFND,0,0,48165
GRAHAM HLDGS CO,COM,384637104,35625,59410,SH,,DFND,0,0,59410
INTERNATIONAL BUSINESS MACHS,COM,459200101,8319845,54084673,SH,,DFND,54084673,0,0
JOHNSON & JOHNSON,COM,478160104,43272,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,27887366,325634818,SH,,DFND,325634818,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,180855,4308117,SH,,DFND,4308117,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,327099,7791780,SH,,DFND,7791780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,39184,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,76700,1827072,SH,,DFND,1827072,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,298281,7153027,SH,,DFND,7153027,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,807308,19359910,SH,,DFND,19359910,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,21211,508654,SH,,DFND,508654,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,169694,4069394,SH,,DFND,4069394,0,0
M & T BK CORP,COM,55261F104,88425,546000,SH,,DFND,546000,0,0
M & T BK CORP,COM,55261F104,26689,164795,SH,,DFND,164795,0,0
M & T BK CORP,COM,55261F104,756508,4671245,SH,,DFND,4671245,0,0
MASTERCARD INC,CL A,57636Q104,599326,4934756,SH,,DFND,4934756,0,0
MONDELEZ INTL INC,CL A,609207105,24964,578000,SH,,DFND,578000,0,0
