Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ACTIVISION BLIZZARD INC,COM,00507V109,1906458,25645116,SH,,DFND,25645116,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,85095,1144672,SH,,DFND,1144672,0,0
ACTIVISION BLIZZARD INC,COM,00507V109,2479393,33352078,SH,,DFND,33352078,0,0
ALLY FINL INC,COM,02005N100,381819,13719675,SH,,DFND,13719675,0,0
ALLY FINL INC,COM,02005N100,78032,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,117671,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,87303,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,134593,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,35483,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,948070,8390000,SH,,DFND,8390000,0,0
AMAZON COM INC,COM,023135106,257188,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,155139,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,113302,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,19996524,148221213,SH,,DFND,148221213,0,0
AMERICAN EXPRESS CO,COM,025816109,188835,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,95634,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,530688,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,3352732,24260000,SH,,DFND,24260000,0,0
APPLE INC,COM,037833100,8596943,62206534,SH,,DFND,62206534,0,0
APPLE INC,COM,037833100,376457,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,9007685,65178619,SH,,DFND,65178619,0,0
APPLE INC,COM,037833100,1679406,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,6610382,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,92515111,669429166,SH,,DFND,669429166,0,0
APPLE INC,COM,037833100,374798,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,521843,3776000,SH,,DFND,3776000,0,0
BANK AMER CORP,COM,060505104,118384,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,359380,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,527972,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,4228000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,950636,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,63420,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,9415756,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,362370,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,1198185,39675000,SH,,DFND,39675000,0,0
BANK AMER CORP,COM,060505104,12139376,401966106,SH,,DFND,401966106,0,0
BANK AMER CORP,COM,060505104,845600,28000000,SH,,DFND,28000000,0,0
