Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
AMERICAN EXPRESS CO,COM,025816109,118612,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,1046615,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,51028,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,124989,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,485754,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,7299821,120141879,SH,,DFND,120141879,0,0
AMERICAN EXPRESS CO,COM,025816109,85047,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,7887,82500,SH,,DFND,82500,0,0
APPLE INC,COM,037833100,974522,10193747,SH,,DFND,10193747,0,0
APPLE INC,COM,037833100,443976,4644105,SH,,DFND,4644105,0,0
APPLE INC,COM,037833100,29383,307350,SH,,DFND,307350,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,258993,6666492,SH,,DFND,6666492,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,69694,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,239331,6160384,SH,,DFND,6160384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,21368,550021,SH,,DFND,550021,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,219751,5656400,SH,,DFND,5656400,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,582675,2548437,SH,,DFND,2548437,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1552249,6789054,SH,,DFND,6789054,0,0
COCA COLA CO,COM,191216100,36264,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,3639237,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,82682,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,653260,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,828560,18278400,SH,,DFND,18278400,0,0
COCA COLA CO,COM,191216100,12687468,279891200,SH,,DFND,279891200,0,0
COCA COLA CO,COM,191216100,161012,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,43517,960000,SH,,DFND,960000,0,0
COSTCO WHSL CORP NEW,COM,22160K105,680511,4333363,SH,,DFND,4333363,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1550427,20052088,SH,,DFND,20052088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1431462,18513482,SH,,DFND,18513482,0,0
DEERE & CO,COM,244199105,10683,131827,SH,,DFND,131827,0,0
DEERE & CO,COM,244199105,187402,2312467,SH,,DFND,2312467,0,0
DEERE & CO,COM,244199105,9738,120165,SH,,DFND,120165,0,0
DEERE & CO,COM,244199105,1490108,18387313,SH,,DFND,18387313,0,0
DEERE & CO,COM,244199105,81646,1007474,SH,,DFND,1007474,0,0
GENERAL ELECTRIC CO,COM,369604103,18539,588900,SH,,DFND,588900,0,0
