Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ALLY FINL INC,COM,02005N100,504589507,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,111229721,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,167732694,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,124444790,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,191854038,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,50579250,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1492663000,7724000,SH,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,439837000,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,266269070,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,34515084970,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,324103545,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,145749040,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,808780800,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,7161080,34000,SH,,DFND,34000,0,0
APPLE INC,COM,037833100,10625468967,50448528,SH,,DFND,50448528,0,0
APPLE INC,COM,037833100,573728880,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,3314359918,15736207,SH,,DFND,15736207,0,0
APPLE INC,COM,037833100,12962184133,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1517306480,7204000,SH,,DFND,7204000,0,0
APPLE INC,COM,037833100,7023378750,33346210,SH,,DFND,33346210,0,0
APPLE INC,COM,037833100,45903379392,217944067,SH,,DFND,217944067,0,0
APPLE INC,COM,037833100,571201440,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,795301120,3776000,SH,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4268078,108217,SH,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,3820434,96867,SH,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,588800,14929,SH,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,143246,3632,SH,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,155898400,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,473263000,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,695279025,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,5567800000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1251880060,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,83517000,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,904823178,22751400,SH,,DFND,22751400,0,0
BANK AMER CORP,COM,060505104,12399490600,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,477200230,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,1577874750,39675000,SH,,DFND,39675000,0,0
BANK AMER CORP,COM,060505104,15986192036,401966106,SH,,DFND,401966106,0,0
BANK AMER CORP,COM,060505104,1113560000,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,389746000,9800000,SH,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,502453049,3629130,SH,,DFND,3629130,0,0
CAPITAL ONE FINL CORP,COM,14040H105,542764289,3920291,SH,,DFND,3920291,0,0
CAPITAL ONE FINL CORP,COM,14040H105,295867650,2137000,SH,,DFND,2137000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,18362762,132631,SH,,DFND,132631,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,1144700201,3828941,SH,,DFND,3828941,0,0
CHEVRON CORP NEW,COM,166764100,2747361036,17564001,SH,,DFND,17564001,0,0
CHEVRON CORP NEW,COM,166764100,9604188,61400,SH,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,327230640,2092000,SH,,DFND,2092000,0,0
CHEVRON CORP NEW,COM,166764100,5086341675,32517208,SH,,DFND,32517208,0,0
CHEVRON CORP NEW,COM,166764100,447110928,2858400,SH,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,9632269301,61579525,SH,,DFND,61579525,0,0
CHEVRON CORP NEW,COM,166764100,303141960,1938000,SH,,DFND,1938000,0,0
CITIGROUP INC,COM NEW,172967424,231311700,3645000,SH,,DFND,3645000,0,0
CITIGROUP INC,COM NEW,172967424,5647940,89000,SH,,DFND,89000,0,0
CITIGROUP INC,COM NEW,172967424,1802582887,28405025,SH,,DFND,28405025,0,0
CITIGROUP INC,COM NEW,172967424,360785965,5685250,SH,,DFND,5685250,0,0
CITIGROUP INC,COM NEW,172967424,914301346,14407522,SH,,DFND,14407522,0,0
CITIGROUP INC,COM NEW,172967424,191204980,3013000,SH,,DFND,3013000,0,0
COCA COLA CO,COM,191216100,50920000,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,23644129,371471,SH,,DFND,371471,0,0
COCA COLA CO,COM,191216100,5410250,85000,SH,,DFND,85000,0,0
COCA COLA CO,COM,191216100,5110025680,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,116097600,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,917272880,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,954138960,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,17995301701,282722729,SH,,DFND,282722729,0,0
COCA COLA CO,COM,191216100,226084800,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,61104000,960000,SH,,DFND,960000,0,0
DAVITA INC,COM,23918K108,2436349934,17582088,SH,,DFND,17582088,0,0
DAVITA INC,COM,23918K108,2565413201,18513482,SH,,DFND,18513482,0,0
DIAGEO P L C,SPON ADR NEW,25243Q205,28714720,227750,SH,,DFND,227750,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,129518307,1302870,SH,,DFND,1302870,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,115902119,1165900,SH,,DFND,1165900,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,103485810,1041000,SH,,DFND,1041000,0,0
FLOOR & DECOR HLDGS INC,CL A,339750101,46533821,468100,SH,,DFND,468100,0,0
HEICO CORP NEW,CL A,422806208,185373840,1044242,SH,,DFND,1044242,0,0
JEFFERIES FINL GROUP INC,COM,47233W109,21573846,433558,SH,,DFND,433558,0,0
KRAFT HEINZ CO,COM,500754106,10491953836,325634818,SH,,DFND,325634818,0,0
KROGER CO,COM,501044101,829192004,16607090,SH,,DFND,16607090,0,0
KROGER CO,COM,501044101,38372753,768531,SH,,DFND,768531,0,0
KROGER CO,COM,501044101,267980252,5367119,SH,,DFND,5367119,0,0
KROGER CO,COM,501044101,1360954992,27257260,SH,,DFND,27257260,0,0
LENNAR CORP,CL B,526057302,21273114,152572,SH,,DFND,152572,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,139286803,3639582,SH,,DFND,3639582,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,5478618,143157,SH,,DFND,143157,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,211619552,5529646,SH,,DFND,5529646,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,6223467,162620,SH,,DFND,162620,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,55210445,1442656,SH,,DFND,1442656,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,37948792,1011698,SH,,DFND,1011698,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,123211910,3284775,SH,,DFND,3284775,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,8752846,233347,SH,,DFND,233347,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,17133368,456768,SH,,DFND,456768,0,0
LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,327487616,14778322,SH,,DFND,14778322,0,0
LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,1081960648,48824939,SH,,DFND,48824939,0,0
LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,14414637,650480,SH,,DFND,650480,0,0
LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,127401297,5749156,SH,,DFND,5749156,0,0
LIBERTY MEDIA CORP DEL,COM LBTY SRM S A,531229813,95424792,4308117,SH,,DFND,4308117,0,0
