Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ALLY FINL INC,COM,02005N100,458035497,12719675,SH,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,100967539,2803875,SH,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,152257482,4228200,SH,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,112963370,3137000,SH,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,174153363,4836250,SH,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,45912750,1275000,SH,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1694568360,7724000,SH,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,499331640,2276000,SH,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,341291286,1149942,SH,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,44239827546,149061045,SH,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,415420821,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,173290640,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,961612800,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,8514280,34000,SH,,DFND,34000,0,0
APPLE INC,COM,037833100,8695584080,34724000,SH,,DFND,34724000,0,0
APPLE INC,COM,037833100,682144080,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,3889523440,15532000,SH,,DFND,15532000,0,0
APPLE INC,COM,037833100,15411595055,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1804025680,7204000,SH,,DFND,7204000,0,0
APPLE INC,COM,037833100,3624078240,14472000,SH,,DFND,14472000,0,0
APPLE INC,COM,037833100,38250906745,152747012,SH,,DFND,152747012,0,0
APPLE INC,COM,037833100,679139040,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,945585920,3776000,SH,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4140382,108217,SH,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,3706131,96867,SH,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,571184,14929,SH,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,138960,3632,SH,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,172284000,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,523005000,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,6394725,145500,SH,,DFND,145500,0,0
BANK AMER CORP,COM,060505104,6153000000,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,246120000,5600000,SH,,DFND,5600000,0,0
BANK AMER CORP,COM,060505104,92295000,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,922950000,21000000,SH,,DFND,21000000,0,0
BANK AMER CORP,COM,060505104,13659660000,310800000,SH,,DFND,310800000,0,0
BANK AMER CORP,COM,060505104,486201578,11062607,SH,,DFND,11062607,0,0
BANK AMER CORP,COM,060505104,5973045846,135905480,SH,,DFND,135905480,0,0
BANK AMER CORP,COM,060505104,1230600000,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,430710000,9800000,SH,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,345800462,1939213,SH,,DFND,1939213,0,0
CAPITAL ONE FINL CORP,COM,14040H105,601613698,3373787,SH,,DFND,3373787,0,0
CAPITAL ONE FINL CORP,COM,14040H105,381069840,2137000,SH,,DFND,2137000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,682715232,1991759,SH,,DFND,1991759,0,0
CHEVRON CORP NEW,COM,166764100,2543969905,17564001,SH,,DFND,17564001,0,0
CHEVRON CORP NEW,COM,166764100,8893176,61400,SH,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,303005280,2092000,SH,,DFND,2092000,0,0
CHEVRON CORP NEW,COM,166764100,4709792407,32517208,SH,,DFND,32517208,0,0
CHEVRON CORP NEW,COM,166764100,414010656,2858400,SH,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,8919178401,61579525,SH,,DFND,61579525,0,0
CHEVRON CORP NEW,COM,166764100,280699920,1938000,SH,,DFND,1938000,0,0
CITIGROUP INC,COM NEW,172967424,1030474546,14639502,SH,,DFND,14639502,0,0
COCA COLA CO,COM,191216100,49808000,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,23127784,371471,SH,,DFND,371471,0,0
COCA COLA CO,COM,191216100,5292100,85000,SH,,DFND,85000,0,0
COCA COLA CO,COM,191216100,4998432032,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,113562240,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,897241312,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,933302304,14990400,SH,,DFND,14990400,0,0
